 9 February 2008   8:12:16.827 PM
 
ASA109_PRB:
  FORTRAN90 version
 
  Test routines in the ASA109 library.
 
TEST01:
  XINBTA inverts the incomplete Beta function.
  Compare with tabulated values.
 
      A       B           FX          X                         X                       DIFF
                                     (tabulated)               (XINBTA)
 
    0.50    0.50        0.063769    0.1000000000000000E-01    0.9999999987739931E-02  0.1226E-10
    0.50    0.50        0.204833    0.1000000000000000        0.9999999988126219E-01  0.1187E-09
    0.50    0.50        1.000000    1.0000000000000000        1.0000000000000000       0.000    
    1.00    0.50        0.000000     0.000000000000000         0.000000000000000       0.000    
    1.00    0.50        0.005013    0.1000000000000000E-01    0.9999999997142803E-02  0.2857E-11
    1.00    0.50        0.051317    0.1000000000000000        0.9999999997314414E-01  0.2686E-10
    1.00    0.50        0.292893    0.5000000000000000        0.4999999998813814      0.1186E-09
    1.00    1.00        0.500000    0.5000000000000000        0.5000000000000000       0.000    
    2.00    2.00        0.028000    0.1000000000000000        0.1000000000870404      0.8704E-10
    2.00    2.00        0.104000    0.2000000000000000        0.2000000001952787      0.1953E-09
    2.00    2.00        0.216000    0.3000000000000000        0.3000000002888634      0.2889E-09
    2.00    2.00        0.352000    0.4000000000000000        0.4000000004105692      0.4106E-09
    2.00    2.00        0.500000    0.5000000000000000        0.5000000005595101      0.5595E-09
    2.00    2.00        0.648000    0.6000000000000000        0.5999999995894308      0.4106E-09
    2.00    2.00        0.784000    0.7000000000000000        0.6999999997111366      0.2889E-09
    2.00    2.00        0.896000    0.8000000000000000        0.7999999998047214      0.1953E-09
    2.00    2.00        0.972000    0.9000000000000000        0.8999999999129595      0.8704E-10
    5.50    5.00        0.436191    0.5000000000000000        0.5000000090345638      0.9035E-08
   10.00    0.50        0.151641    0.9000000000000000        0.9000000059078810      0.5908E-08
   10.00    5.00        0.089783    0.5000000000000000        0.5000000135769177      0.1358E-07
   10.00    5.00        1.000000    1.0000000000000000        1.0000000000000000       0.000    
   10.00   10.00        0.500000    0.5000000000000000        0.5000000023224583      0.2322E-08
   20.00    5.00        0.459877    0.8000000000000000        0.7999999996998320      0.3002E-09
   20.00   10.00        0.214682    0.6000000000000000        0.6000000005491829      0.5492E-09
   20.00   10.00        0.950736    0.8000000000000000        0.7999999997266629      0.2733E-09
   20.00   20.00        0.500000    0.5000000000000000        0.5000000000000001      0.1110E-15
   20.00   20.00        0.897941    0.6000000000000000        0.5999999095925410      0.9041E-07
   30.00   10.00        0.224130    0.7000000000000000        0.7000000297263503      0.2973E-07
   30.00   10.00        0.758641    0.8000000000000000        0.7999999267423825      0.7326E-07
   40.00   20.00        0.700178    0.7000000000000000        0.6999999017044480      0.9830E-07
    1.00    0.50        0.051317    0.1000000000000000        0.9999999997314414E-01  0.2686E-10
    1.00    0.50        0.105573    0.2000000000000000        0.1999999999549328      0.4507E-10
    1.00    0.50        0.163340    0.3000000000000000        0.2999999999223895      0.7761E-10
    1.00    0.50        0.225403    0.4000000000000000        0.3999999999000737      0.9993E-10
    1.00    2.00        0.360000    0.2000000000000000        0.1999999999746051      0.2539E-10
    1.00    3.00        0.488000    0.2000000000000000        0.2000000004550595      0.4551E-09
    1.00    4.00        0.590400    0.2000000000000000        0.1999999986812894      0.1319E-08
    1.00    5.00        0.672320    0.2000000000000000        0.1999999988538737      0.1146E-08
    2.00    2.00        0.216000    0.3000000000000000        0.3000000002888634      0.2889E-09
    3.00    2.00        0.083700    0.3000000000000000        0.3000000001794380      0.1794E-09
    4.00    2.00        0.030780    0.3000000000000000        0.3000000055590522      0.5559E-08
    5.00    2.00        0.010935    0.3000000000000000        0.3000000260606296      0.2606E-07
 
ASA109_PRB:
  Normal end of execution.
 
 9 February 2008   8:12:16.833 PM
