27 August 2010   9:33:23.288 AM
 
SPHERE_VOLUME_MC:
  FORTRAN90 version
 
  Estimate the volume of the unit sphere using
  a Monte Carlo procedure.
 
  The spatial dimension is        6
 
    Log(N)         N    Estimate         Error
 
         0         1     0.00000         5.16771    
         1         2     0.00000         5.16771    
         2         4     0.00000         5.16771    
         3         8     0.00000         5.16771    
         4        16     0.00000         5.16771    
         5        32     6.00000        0.832287    
         6        64     6.00000        0.832287    
         7       128     4.00000         1.16771    
         8       256     4.25000        0.917713    
         9       512     5.00000        0.167713    
        10      1024     4.81250        0.355213    
        11      2048     5.15625        0.114628E-01
        12      4096     5.26563        0.979122E-01
        13      8192     5.51563        0.347912    
        14     16384     5.49219        0.324475    
        15     32768     5.39063        0.222912    
        16     65536     5.27637        0.108654    
        17    131072     5.15430        0.134159E-01
        18    262144     5.20923        0.415157E-01
        19    524288     5.17029        0.257531E-02
        20   1048576     5.18042        0.127071E-01
        21   2097152     5.18600        0.182919E-01
        22   4194304     5.17467        0.695458E-02
        23   8388608     5.17422        0.650444E-02
        24  16777216     5.16634        0.136909E-02
        25  33554432     5.16849        0.772861E-03
 
  Infinity  Infinity     5.16771         0.00000    
 
SPHERE_VOLUME_MC:
  Normal end of execution.
 
27 August 2010   9:33:42.317 AM
