 4 January 2011   4:58:29.709 PM
 
CORDIC_PRB:
  FORTRAN90 version
  Test the CORDIC library.
 
TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.
 
          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC
 
        0.0000     0     1.0000000         1.0000000        0.0000E+00
        0.0000     5     1.0000000        0.99988995        0.1100E-03
        0.0000    10     1.0000000        0.99999931        0.6875E-06
        0.0000    15     1.0000000         1.0000000        0.8350E-10
        0.0000    20     1.0000000         1.0000000        0.9204E-13
        0.0000    25     1.0000000         1.0000000        0.4441E-15
 
        0.2618     0    0.96592583         1.0000000       -0.3407E-01
        0.2618     5    0.96592583        0.96547238        0.4535E-03
        0.2618    10    0.96592583        0.96597708       -0.5125E-04
        0.2618    15    0.96592583        0.96592971       -0.3882E-05
        0.2618    20    0.96592583        0.96592625       -0.4261E-06
        0.2618    25    0.96592583        0.96592584       -0.9607E-08
 
        0.5000     0    0.87758256         1.0000000       -0.1224E+00
        0.5000     5    0.87758256        0.87527459        0.2308E-02
        0.5000    10    0.87758256        0.87808912       -0.5066E-03
        0.5000    15    0.87758256        0.87759216       -0.9601E-05
        0.5000    20    0.87758256        0.87758210        0.4578E-06
        0.5000    25    0.87758256        0.87758259       -0.2795E-07
 
        0.5236     0    0.86602540         1.0000000       -0.1340E+00
        0.5236     5    0.86602540        0.87527459       -0.9249E-02
        0.5236    10    0.86602540        0.86664307       -0.6177E-03
        0.5236    15    0.86602540        0.86600286        0.2255E-04
        0.5236    20    0.86602540        0.86602479        0.6098E-06
        0.5236    25    0.86602540        0.86602542       -0.1609E-07
 
        0.7854     0    0.70710678         1.0000000       -0.2929E+00
        0.7854     5    0.70710678        0.68419769        0.2291E-01
        0.7854    10    0.70710678        0.70802311       -0.9163E-03
        0.7854    15    0.70710678        0.70711738       -0.1060E-04
        0.7854    20    0.70710678        0.70710794       -0.1158E-05
        0.7854    25    0.70710678        0.70710680       -0.2002E-07
 
        1.0000     0    0.54030231         1.0000000       -0.4597E+00
        1.0000     5    0.54030231        0.58806584       -0.4776E-01
        1.0000    10    0.54030231        0.54134537       -0.1043E-02
        1.0000    15    0.54030231        0.54026724        0.3507E-04
        1.0000    20    0.54030231        0.54030094        0.1362E-05
        1.0000    25    0.54030231        0.54030230        0.8193E-08
 
        1.0472     0    0.50000000         1.0000000       -0.5000E+00
        1.0472     5    0.50000000        0.48362630        0.1637E-01
        1.0472    10    0.50000000        0.49892865        0.1071E-02
        1.0472    15    0.50000000        0.50003905       -0.3905E-04
        1.0472    20    0.50000000        0.50000106       -0.1056E-05
        1.0472    25    0.50000000        0.49999997        0.2787E-07
 
        1.5708     0     0.0000000         1.0000000       -0.1000E+01
        1.5708     5     0.0000000        0.14835163E-01   -0.1484E-01
        1.5708    10     0.0000000        0.11725901E-02   -0.1173E-02
        1.5708    15     0.0000000        0.12922696E-04   -0.1292E-04
        1.5708    20     0.0000000       -0.42874447E-06    0.4287E-06
        1.5708    25     0.0000000       -0.11511956E-07    0.1151E-07
 
        2.0000     0   -0.41614684        -1.0000000        0.5839E+00
        2.0000     5   -0.41614684       -0.37087906       -0.4527E-01
        2.0000    10   -0.41614684       -0.41575425       -0.3926E-03
        2.0000    15   -0.41614684       -0.41614278       -0.4059E-05
        2.0000    20   -0.41614684       -0.41614798        0.1144E-05
        2.0000    25   -0.41614684       -0.41614684        0.5831E-08
 
        3.0000     0   -0.98999250        -1.0000000        0.1001E-01
        3.0000     5   -0.98999250       -0.99039545        0.4030E-03
        3.0000    10   -0.98999250       -0.99012474        0.1322E-03
        3.0000    15   -0.98999250       -0.98999597        0.3477E-05
        3.0000    20   -0.98999250       -0.98999247       -0.2200E-07
        3.0000    25   -0.98999250       -0.98999250        0.3229E-08
 
        3.1416     0    -1.0000000        -1.0000000        0.0000E+00
        3.1416     5    -1.0000000       -0.99988995       -0.1100E-03
        3.1416    10    -1.0000000       -0.99999931       -0.6875E-06
        3.1416    15    -1.0000000        -1.0000000       -0.8350E-10
        3.1416    20    -1.0000000        -1.0000000       -0.9204E-13
        3.1416    25    -1.0000000        -1.0000000       -0.4441E-15
 
        4.0000     0   -0.65364362        -1.0000000        0.3464E+00
        4.0000     5   -0.65364362       -0.68419769        0.3055E-01
        4.0000    10   -0.65364362       -0.65372665        0.8303E-04
        4.0000    15   -0.65364362       -0.65368046        0.3684E-04
        4.0000    20   -0.65364362       -0.65364437        0.7526E-06
        4.0000    25   -0.65364362       -0.65364361       -0.1424E-07
 
        5.0000     0    0.28366219         1.0000000       -0.7163E+00
        5.0000     5    0.28366219        0.26050545        0.2316E-01
        5.0000    10    0.28366219        0.28492410       -0.1262E-02
        5.0000    15    0.28366219        0.28369526       -0.3307E-04
        5.0000    20    0.28366219        0.28366051        0.1676E-05
        5.0000    25    0.28366219        0.28366217        0.1855E-07
 
TEST002:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.
 
          A        N      Sin(A)           Sin(A)           Difference
                          Tabulated        CORDIC
 
        0.0000     0     0.0000000         0.0000000        0.0000E+00
        0.0000     5     0.0000000        0.14835163E-01   -0.1484E-01
        0.0000    10     0.0000000        0.11725901E-02   -0.1173E-02
        0.0000    15     0.0000000        0.12922696E-04   -0.1292E-04
        0.0000    20     0.0000000       -0.42874447E-06    0.4287E-06
        0.0000    25     0.0000000       -0.11511956E-07    0.1151E-07
 
        0.2618     0    0.25881905         0.0000000        0.2588E+00
        0.2618     5    0.25881905        0.26050545       -0.1686E-02
        0.2618    10    0.25881905        0.25862769        0.1914E-03
        0.2618    15    0.25881905        0.25880456        0.1449E-04
