March 11 2008   2:42:14.798 PM
 
EXPONENTIAL:
  FORTRAN90 version.
 
TEST01:
  Try using a Taylor series with fixed number of terms.
 
        X             EXP(X)         Approx(X)     Error
 
    -10.0000        0.453999E-04    -542.333       542.3    
    -5.00000        0.673795E-02    -12.3333       12.34    
    -1.00000        0.367879        0.366667      0.1213E-02
     0.00000         1.00000         1.00000       0.000    
    0.100000E-07     1.00000         1.00000       0.000    
    0.100000E-03     1.00010         1.00010       0.000    
    0.100000E-02     1.00100         1.00100       0.000    
    0.100000E-01     1.01005         1.01005      0.1110E-14
    0.100000         1.10517         1.10517      0.1409E-08
    0.200000         1.22140         1.22140      0.9149E-07
    0.300000         1.34986         1.34986      0.1058E-05
    0.400000         1.49182         1.49182      0.6031E-05
    0.500000         1.64872         1.64870      0.2335E-04
    0.600000         1.82212         1.82205      0.7080E-04
    0.700000         2.01375         2.01357      0.1813E-03
    0.800000         2.22554         2.22513      0.4103E-03
    0.900000         2.45960         2.45876      0.8449E-03
     1.00000         2.71828         2.71667      0.1615E-02
     2.00000         7.38906         7.26667      0.1224    
     3.14159         23.1407         20.8530       2.288    
     5.00000         148.413         91.4167       57.00    
     10.0000         22026.5         1477.67      0.2055E+05
     20.0000        0.485165E+09     34887.7      0.4851E+09
     40.0000        0.235385E+18     971508.      0.2354E+18
 
TEST02:
  Try using a Taylor series with fixed number of terms
  and scaling X to be between 0 and 1.
 
        X             EXP(X)         Approx(X)     Error
 
    -10.0000        0.453999E-04    0.453999E-04  0.2711E-19
    -5.00000        0.673795E-02    0.673795E-02  0.2602E-17
    -1.00000        0.367879        0.367879       0.000    
     0.00000         1.00000         1.00000       0.000    
    0.100000E-07     1.00000         1.00000       0.000    
    0.100000E-03     1.00010         1.00010       0.000    
    0.100000E-02     1.00100         1.00100       0.000    
    0.100000E-01     1.01005         1.01005      0.1110E-14
    0.100000         1.10517         1.10517      0.1409E-08
    0.200000         1.22140         1.22140      0.9149E-07
    0.300000         1.34986         1.34986      0.1058E-05
    0.400000         1.49182         1.49182      0.6031E-05
    0.500000         1.64872         1.64870      0.2335E-04
    0.600000         1.82212         1.82205      0.7080E-04
    0.700000         2.01375         2.01357      0.1813E-03
    0.800000         2.22554         2.22513      0.4103E-03
    0.900000         2.45960         2.45876      0.8449E-03
     1.00000         2.71828         2.71667      0.1615E-02
     2.00000         7.38906         7.38467      0.4390E-02
     3.14159         23.1407         23.1407      0.2294E-06
     5.00000         148.413         148.325      0.8818E-01
     10.0000         22026.5         22013.4       13.09    
     20.0000        0.485165E+09    0.484877E+09  0.2883E+06
     40.0000        0.235385E+18    0.235245E+18  0.1399E+15
 
EXPONENTIAL:
  Normal end of execution.
 
March 11 2008   2:42:14.802 PM
