 
FEM2D_POISSON_LINEAR
  FORTRAN90 version
 
  Solution of the Poisson equation:
 
  - Uxx - Uyy = F(x,y) inside the region,
       U(x,y) = G(x,y) on the boundary of the region.
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U               U               Error
                                                 exact           computed 
 
     1     1     1        0.00        0.00     0.00000         0.00000         0.00000    
     2     2     1        0.06        0.00    0.625000E-01    0.625000E-01     0.00000    
     3     3     1        0.13        0.00    0.125000        0.125000         0.00000    
     4     4     1        0.19        0.00    0.187500        0.187500         0.00000    
     5     5     1        0.25        0.00    0.250000        0.250000         0.00000    
     6     6     1        0.31        0.00    0.312500        0.312500         0.00000    
     7     7     1        0.38        0.00    0.375000        0.375000         0.00000    
     8     8     1        0.44        0.00    0.437500        0.437500         0.00000    
     9     9     1        0.50        0.00    0.500000        0.500000         0.00000    
    10    10     1        0.56        0.00    0.562500        0.562500         0.00000    
    11    11     1        0.63        0.00    0.625000        0.625000         0.00000    
    12    12     1        0.69        0.00    0.687500        0.687500         0.00000    
    13    13     1        0.75        0.00    0.750000        0.750000         0.00000    
    14    14     1        0.81        0.00    0.812500        0.812500         0.00000    
    15    15     1        0.88        0.00    0.875000        0.875000         0.00000    
    16    16     1        0.94        0.00    0.937500        0.937500         0.00000    
    17    17     1        1.00        0.00     1.00000         1.00000         0.00000    
 
    18     1     2        0.00        0.06     0.00000         0.00000         0.00000    
    19     2     2        0.06        0.06    0.100560        0.100225        0.335531E-03
    20     3     2        0.13        0.06    0.199658        0.199110        0.547596E-03
    21     4     2        0.19        0.06    0.295886        0.295206        0.680795E-03
    22     5     2        0.25        0.06    0.387950        0.387195        0.754779E-03
    23     6     2        0.31        0.06    0.474712        0.473932        0.779960E-03
    24     7     2        0.38        0.06    0.555240        0.554477        0.763232E-03
    25     8     2        0.44        0.06    0.628842        0.628131        0.710359E-03
    26     9     2        0.50        0.06    0.695090        0.694463        0.627081E-03
    27    10     2        0.56        0.06    0.753842        0.753322        0.519706E-03
    28    11     2        0.63        0.06    0.805240        0.804844        0.395463E-03
    29    12     2        0.69        0.06    0.849712        0.849449        0.262838E-03
    30    13     2        0.75        0.06    0.887950        0.887818        0.132048E-03
    31    14     2        0.81        0.06    0.920886        0.920870        0.159809E-04
    32    15     2        0.88        0.06    0.949658        0.949725        0.676484E-04
    33    16     2        0.94        0.06    0.975560        0.975651        0.908563E-04
    34    17     2        1.00        0.06     1.00000         1.00000         0.00000    
 
    35     1     3        0.00        0.13     0.00000         0.00000         0.00000    
    36     2     3        0.06        0.13    0.137158        0.136610        0.547596E-03
    37     3     3        0.13        0.13    0.271447        0.270515        0.931863E-03
    38     4     3        0.19        0.13    0.400108        0.398915        0.119266E-02
    39     5     3        0.25        0.13    0.520598        0.519245        0.135303E-02
    40     6     3        0.31        0.13    0.630690        0.629262        0.142720E-02
    41     7     3        0.38        0.13    0.728553        0.727128        0.142540E-02
    42     8     3        0.44        0.13    0.812830        0.811474        0.135660E-02
    43     9     3        0.50        0.13    0.882683        0.881453        0.123006E-02
    44    10     3        0.56        0.13    0.937830        0.936774        0.105626E-02
    45    11     3        0.63        0.13    0.978553        0.977706        0.847460E-03
    46    12     3        0.69        0.13     1.00569         1.00507        0.618319E-03
    47    13     3        0.75        0.13     1.02060         1.02021        0.386542E-03
    48    14     3        0.81        0.13     1.02511         1.02493        0.174117E-03
    49    15     3        0.88        0.13     1.02145         1.02144        0.958713E-05
    50    16     3        0.94        0.13     1.01216         1.01223        0.676484E-04
    51    17     3        1.00        0.13     1.00000         1.00000         0.00000    
 
    52     1     4        0.00        0.19     0.00000         0.00000         0.00000    
    53     2     4        0.06        0.19    0.170886        0.170206        0.680795E-03
    54     3     4        0.13        0.19    0.337608        0.336415        0.119266E-02
    55     4     4        0.19        0.19    0.496158        0.494596        0.156273E-02
    56     5     4        0.25        0.19    0.642847        0.641038        0.180932E-02
    57     6     4        0.31        0.19    0.774440        0.772495        0.194507E-02
    58     7     4        0.38        0.19    0.888280        0.886300        0.197993E-02
    59     8     4        0.44        0.19    0.982395        0.980472        0.192335E-02
    60     9     4        0.50        0.19     1.05557         1.05378        0.178578E-02
    61    10     4        0.56        0.19     1.10740         1.10582        0.157957E-02
    62    11     4        0.63        0.19     1.13828         1.13696        0.131976E-02
    63    12     4        0.69        0.19     1.14944         1.14842        0.102457E-02
    64    13     4        0.75        0.19     1.14285         1.14213        0.716148E-03
    65    14     4        0.81        0.19     1.12116         1.12074        0.421518E-03
    66    15     4        0.88        0.19     1.08761         1.08743        0.174117E-03
    67    16     4        0.94        0.19     1.04589         1.04587        0.159809E-04
    68    17     4        1.00        0.19     1.00000         1.00000         0.00000    
 
    69     1     5        0.00        0.25     0.00000         0.00000         0.00000    
    70     2     5        0.06        0.25    0.200450        0.199695        0.754779E-03
    71     3     5        0.13        0.25    0.395598        0.394245        0.135303E-02
    72     4     5        0.19        0.25    0.580347        0.578538        0.180932E-02
    73     5     5        0.25        0.25    0.750000        0.747866        0.213422E-02
    74     6     5        0.31        0.25    0.900438        0.898102        0.233563E-02
    75     7     5        0.38        0.25     1.02828         1.02586        0.242050E-02
    76     8     5        0.44        0.25     1.13102         1.12862        0.239644E-02
    77     9     5        0.50        0.25     1.20711         1.20483        0.227286E-02
    78    10     5        0.56        0.25     1.25602         1.25396        0.206194E-02
    79    11     5        0.63        0.25     1.27828         1.27650        0.177920E-02
    80    12     5        0.69        0.25     1.27544         1.27399        0.144400E-02
    81    13     5        0.75        0.25     1.25000         1.24892        0.108009E-02
    82    14     5        0.81        0.25     1.20535         1.20463        0.716148E-03
    83    15     5        0.88        0.25     1.14560         1.14521        0.386542E-03
    84    16     5        0.94        0.25     1.07545         1.07532        0.132048E-03
    85    17     5        1.00        0.25     1.00000         1.00000         0.00000    
 
    86     1     6        0.00        0.31     0.00000         0.00000         0.00000    
    87     2     6        0.06        0.31    0.224712        0.223932        0.779960E-03
    88     3     6        0.13        0.31    0.443190        0.441762        0.142720E-02
    89     4     6        0.19        0.31    0.649440        0.647495        0.194507E-02
    90     5     6        0.25        0.31    0.837938        0.835602        0.233563E-02
    91     6     6        0.31        0.31     1.00384         1.00124        0.260048E-02
    92     7     6        0.38        0.31     1.14318         1.14044        0.274181E-02
    93     8     6        0.44        0.31     1.25299         1.25023        0.276363E-02
    94     9     6        0.50        0.31     1.33147         1.32880        0.267260E-02
    95    10     6        0.56        0.31     1.37799         1.37551        0.247887E-02
    96    11     6        0.63        0.31     1.39318         1.39098        0.219651E-02
    97    12     6        0.69        0.31     1.37884         1.37700        0.184390E-02
    98    13     6        0.75        0.31     1.33794         1.33649        0.144400E-02
    99    14     6        0.81        0.31     1.27444         1.27342        0.102457E-02
   100    15     6        0.88        0.31     1.19319         1.19257        0.618319E-03
   101    16     6        0.94        0.31     1.09971         1.09945        0.262838E-03
   102    17     6        1.00        0.31     1.00000         1.00000         0.00000    
 
   103     1     7        0.00        0.38     0.00000         0.00000         0.00000    
   104     2     7        0.06        0.38    0.242740        0.241977        0.763232E-03
   105     3     7        0.13        0.38    0.478553        0.477128        0.142540E-02
   106     4     7        0.19        0.38    0.700780        0.698800        0.197993E-02
   107     5     7        0.25        0.38    0.903281        0.900861        0.242050E-02
   108     6     7        0.31        0.38     1.08068         1.07794        0.274181E-02
   109     7     7        0.38        0.38     1.22855         1.22561        0.294037E-02
   110     8     7        0.44        0.38     1.34363         1.34061        0.301542E-02
   111     9     7        0.50        0.38     1.42388         1.42091        0.296964E-02
   112    10     7        0.56        0.38     1.46863         1.46582        0.280974E-02
   113    11     7        0.63        0.38     1.47855         1.47601        0.254680E-02
   114    12     7        0.69        0.38     1.45568         1.45348        0.219651E-02
   115    13     7        0.75        0.38     1.40328         1.40150        0.177920E-02
   116    14     7        0.81        0.38     1.32578         1.32446        0.131976E-02
   117    15     7        0.88        0.38     1.22855         1.22771        0.847460E-03
   118    16     7        0.94        0.38     1.11774         1.11734        0.395463E-03
   119    17     7        1.00        0.38     1.00000         1.00000         0.00000    
 
