30 May 2012   8:18:03.749 PM
 
FEYNMAN_KAC_2D:
  FORTRAN90 version.
 
  Program parameters:
 
  The calculation takes place inside a 2D ellipse.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipse.
 
  Each solution will be estimated by computing    10000 trajectories
  from the point to the boundary.
 
    (X/A)^2 + (Y/B)^2 = 1
 
  The ellipse parameters A and B are:
 
    A =    2.00000    
    B =    1.00000    
  Stepsize H =   0.100000E-03
 
  X coordinate marked by   21 points
  Y coordinate marked by   11 points
 
     X            Y             W Approx      W Exact          Error      Ave Steps
 
    -2.000        -1.000         1.000         1.000         0.000             0
    -2.000       -0.9000         1.000         1.000         0.000             0
    -2.000       -0.8000         1.000         1.000         0.000             0
    -2.000       -0.7000         1.000         1.000         0.000             0
    -2.000       -0.6000         1.000         1.000         0.000             0
    -2.000       -0.5000         1.000         1.000         0.000             0
    -2.000       -0.4000         1.000         1.000         0.000             0
    -2.000       -0.3000         1.000         1.000         0.000             0
    -2.000       -0.2000         1.000         1.000         0.000             0
    -2.000       -0.1000         1.000         1.000         0.000             0
    -2.000         0.000        0.9960         1.000        0.3971E-02        34
    -2.000        0.1000         1.000         1.000         0.000             0
    -2.000        0.2000         1.000         1.000         0.000             0
    -2.000        0.3000         1.000         1.000         0.000             0
    -2.000        0.4000         1.000         1.000         0.000             0
    -2.000        0.5000         1.000         1.000         0.000             0
    -2.000        0.6000         1.000         1.000         0.000             0
    -2.000        0.7000         1.000         1.000         0.000             0
    -2.000        0.8000         1.000         1.000         0.000             0
    -2.000        0.9000         1.000         1.000         0.000             0
    -2.000         1.000         1.000         1.000         0.000             0
    -1.600        -1.000         1.000         1.000         0.000             0
    -1.600       -0.9000         1.000         1.000         0.000             0
    -1.600       -0.8000         1.000         1.000         0.000             0
    -1.600       -0.7000         1.000         1.000         0.000             0
    -1.600       -0.6000        0.9914         1.000        0.8565E-02        67
    -1.600       -0.5000        0.8894        0.8958        0.6416E-02       935
    -1.600       -0.4000        0.8128        0.8187        0.5957E-02      1643
    -1.600       -0.3000        0.7549        0.7634        0.8444E-02      2284
    -1.600       -0.2000        0.7241        0.7261        0.2059E-02      2586
    -1.600       -0.1000        0.7041        0.7047        0.5450E-03      2812
    -1.600         0.000        0.6936        0.6977        0.4066E-02      2907
    -1.600        0.1000        0.6986        0.7047        0.6119E-02      2884
    -1.600        0.2000        0.7224        0.7261        0.3709E-02      2604
    -1.600        0.3000        0.7576        0.7634        0.5743E-02      2226
    -1.600        0.4000        0.8110        0.8187        0.7775E-02      1679
    -1.600        0.5000        0.8897        0.8958        0.6106E-02       933
    -1.600        0.6000        0.9920         1.000        0.8012E-02        58
    -1.600        0.7000         1.000         1.000         0.000             0
    -1.600        0.8000         1.000         1.000         0.000             0
    -1.600        0.9000         1.000         1.000         0.000             0
    -1.600         1.000         1.000         1.000         0.000             0
    -1.200        -1.000         1.000         1.000         0.000             0
    -1.200       -0.9000         1.000         1.000         0.000             0
    -1.200       -0.8000        0.9900         1.000        0.1005E-01        82
    -1.200       -0.7000        0.8512        0.8607        0.9494E-02      1298
    -1.200       -0.6000        0.7491        0.7558        0.6674E-02      2285
    -1.200       -0.5000        0.6752        0.6771        0.1892E-02      3125
    -1.200       -0.4000        0.6185        0.6188        0.2700E-03      3823
    -1.200       -0.3000        0.5710        0.5769        0.5940E-02      4499
    -1.200       -0.2000        0.5456        0.5488        0.3252E-02      4856
    -1.200       -0.1000        0.5293        0.5326        0.3255E-02      5054
    -1.200         0.000        0.5258        0.5273        0.1478E-02      5070
    -1.200        0.1000        0.5261        0.5326        0.6468E-02      5142
    -1.200        0.2000        0.5440        0.5488        0.4850E-02      4863
    -1.200        0.3000        0.5737        0.5769        0.3274E-02      4404
    -1.200        0.4000        0.6105        0.6188        0.8289E-02      3973
    -1.200        0.5000        0.6722        0.6771        0.4848E-02      3178
    -1.200        0.6000        0.7512        0.7558        0.4623E-02      2278
    -1.200        0.7000        0.8526        0.8607        0.8142E-02      1264
    -1.200        0.8000        0.9894         1.000        0.1064E-01        90
    -1.200        0.9000         1.000         1.000         0.000             0
    -1.200         1.000         1.000         1.000         0.000             0
   -0.8000        -1.000         1.000         1.000         0.000             0
   -0.8000       -0.9000        0.9603        0.9704        0.1012E-01       313
   -0.8000       -0.8000        0.8125        0.8187        0.6181E-02      1637
   -0.8000       -0.7000        0.6989        0.7047        0.5823E-02      2865
   -0.8000       -0.6000        0.6131        0.6188        0.5657E-02      3907
   -0.8000       -0.5000        0.5504        0.5543        0.3961E-02      4746
   -0.8000       -0.4000        0.4991        0.5066        0.7565E-02      5573
   -0.8000       -0.3000        0.4703        0.4724        0.2056E-02      6004
   -0.8000       -0.2000        0.4511        0.4493        0.1749E-02      6376
   -0.8000       -0.1000        0.4343        0.4360        0.1779E-02      6677
   -0.8000         0.000        0.4253        0.4317        0.6377E-02      6789
   -0.8000        0.1000        0.4333        0.4360        0.2775E-02      6698
   -0.8000        0.2000        0.4460        0.4493        0.3364E-02      6482
   -0.8000        0.3000        0.4642        0.4724        0.8163E-02      6142
   -0.8000        0.4000        0.4980        0.5066        0.8645E-02      5619
   -0.8000        0.5000        0.5551        0.5543        0.7485E-03      4679
   -0.8000        0.6000        0.6133        0.6188        0.5492E-02      3883
   -0.8000        0.7000        0.6974        0.7047        0.7292E-02      2875
   -0.8000        0.8000        0.8105        0.8187        0.8223E-02      1683
   -0.8000        0.9000        0.9579        0.9704        0.1253E-01       342
   -0.8000         1.000         1.000         1.000         0.000             0
   -0.4000        -1.000         1.000         1.000         0.000             0
   -0.4000       -0.9000        0.8498        0.8607        0.1095E-01      1298
   -0.4000       -0.8000        0.7184        0.7261        0.7771E-02      2627
   -0.4000       -0.7000        0.6157        0.6250        0.9327E-02      3889
   -0.4000       -0.6000        0.5469        0.5488        0.1882E-02      4790
   -0.4000       -0.5000        0.4860        0.4916        0.5643E-02      5770
   -0.4000       -0.4000        0.4464        0.4493        0.2919E-02      6465
   -0.4000       -0.3000        0.4150        0.4190        0.3928E-02      6997
   -0.4000       -0.2000        0.3956        0.3985        0.2881E-02      7439
   -0.4000       -0.1000        0.3821        0.3867        0.4623E-02      7691
   -0.4000         0.000        0.3787        0.3829        0.4218E-02      7753
   -0.4000        0.1000        0.3833        0.3867        0.3439E-02      7622
   -0.4000        0.2000        0.3939        0.3985        0.4639E-02      7526
   -0.4000        0.3000        0.4154        0.4190        0.3504E-02      7000
   -0.4000        0.4000        0.4463        0.4493        0.3046E-02      6469
   -0.4000        0.5000        0.4881        0.4916        0.3574E-02      5758
   -0.4000        0.6000        0.5404        0.5488        0.8405E-02      4924
   -0.4000        0.7000        0.6219        0.6250        0.3069E-02      3758
   -0.4000        0.8000        0.7177        0.7261        0.8497E-02      2662
   -0.4000        0.9000        0.8492        0.8607        0.1154E-01      1305
   -0.4000         1.000         1.000         1.000         0.000             0
     0.000        -1.000        0.9929         1.000        0.7138E-02        53
     0.000       -0.9000        0.8141        0.8270        0.1289E-01      1604
     0.000       -0.8000        0.6839        0.6977        0.1373E-01      3004
     0.000       -0.7000        0.5933        0.6005        0.7212E-02      4129
     0.000       -0.6000        0.5171        0.5273        0.1014E-01      5274
     0.000       -0.5000        0.4699        0.4724        0.2426E-02      6037
     0.000       -0.4000        0.4231        0.4317        0.8576E-02      6892
     0.000       -0.3000        0.3991        0.4025        0.3473E-02      7292
     0.000       -0.2000        0.3784        0.3829        0.4519E-02      7782
     0.000       -0.1000        0.3653        0.3716        0.6249E-02      7989
     0.000         0.000        0.3645        0.3679        0.3415E-02      8101
     0.000        0.1000        0.3672        0.3716        0.4392E-02      7970
     0.000        0.2000        0.3825        0.3829        0.4067E-03      7644
     0.000        0.3000        0.3958        0.4025        0.6729E-02      7350
     0.000        0.4000        0.4251        0.4317        0.6644E-02      6821
     0.000        0.5000        0.4663        0.4724        0.6097E-02      6123
     0.000        0.6000        0.5176        0.5273        0.9740E-02      5299
     0.000        0.7000        0.5920        0.6005        0.8508E-02      4095
     0.000        0.8000        0.6873        0.6977        0.1040E-01      2964
     0.000        0.9000        0.8127        0.8270        0.1422E-01      1683
     0.000         1.000        0.9929         1.000        0.7132E-02        51
    0.4000        -1.000         1.000         1.000         0.000             0
    0.4000       -0.9000        0.8515        0.8607        0.9181E-02      1270
    0.4000       -0.8000        0.7206        0.7261        0.5557E-02      2602
    0.4000       -0.7000        0.6205        0.6250        0.4522E-02      3819
    0.4000       -0.6000        0.5398        0.5488        0.8981E-02      4927
    0.4000       -0.5000        0.4862        0.4916        0.5421E-02      5738
    0.4000       -0.4000        0.4484        0.4493        0.9179E-03      6394
    0.4000       -0.3000        0.4152        0.4190        0.3704E-02      7024
    0.4000       -0.2000        0.3948        0.3985        0.3746E-02      7385
    0.4000       -0.1000        0.3815        0.3867        0.5203E-02      7687
    0.4000         0.000        0.3800        0.3829        0.2852E-02      7731
    0.4000        0.1000        0.3806        0.3867        0.6140E-02      7734
    0.4000        0.2000        0.3943        0.3985        0.4171E-02      7399
    0.4000        0.3000        0.4172        0.4190        0.1755E-02      6978
    0.4000        0.4000        0.4434        0.4493        0.5954E-02      6523
    0.4000        0.5000        0.4841        0.4916        0.7586E-02      5810
    0.4000        0.6000        0.5402        0.5488        0.8624E-02      4940
    0.4000        0.7000        0.6176        0.6250        0.7406E-02      3875
    0.4000        0.8000        0.7187        0.7261        0.7445E-02      2633
    0.4000        0.9000        0.8484        0.8607        0.1232E-01      1313
    0.4000         1.000         1.000         1.000         0.000             0
    0.8000        -1.000         1.000         1.000         0.000             0
    0.8000       -0.9000        0.9595        0.9704        0.1090E-01       325
    0.8000       -0.8000        0.8084        0.8187        0.1034E-01      1682
    0.8000       -0.7000        0.6974        0.7047        0.7258E-02      2847
    0.8000       -0.6000        0.6151        0.6188        0.3704E-02      3867
    0.8000       -0.5000        0.5480        0.5543        0.6330E-02      4848
    0.8000       -0.4000        0.5007        0.5066        0.5883E-02      5550
    0.8000       -0.3000        0.4647        0.4724        0.7685E-02      6133
    0.8000       -0.2000        0.4447        0.4493        0.4642E-02      6499
    0.8000       -0.1000        0.4341        0.4360        0.1940E-02      6646
