#   4 April 2006  11:20:25.746 AM
#
#  MD1
#    A Molecular Dynamics simulation.
#    Last modified on 09 January 2006.
#
#READ_SAMPLE: Warning!
#  The coordinate data is NOT translated to have
#  zero center of mass.
#
# MD1: a minimal molecular dynamics program
#
#MD1 Test Run
#  Input sample: "md1_sample0.txt".
#                                (only positions read from file)
# Output sample: "md1_sample1.txt".
# Number of steps:     100, time step: 0.0032, total time:      0.3200
# Number of atoms:  4000
# Box size:   30.000000   30.000000   30.000000, Volume:      27000.000
# Density:    0.148148 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential     Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
#
     1      0.000000      0.000000     -0.168363     -0.168363     -0.077946
     2      0.000000      0.000000     -0.168364     -0.168363     -0.077946
     3      0.000000      0.000001     -0.168364     -0.168363     -0.077946
     4      0.000001      0.000001     -0.168365     -0.168363     -0.077946
     5      0.000001      0.000002     -0.168366     -0.168363     -0.077946
     6      0.000002      0.000003     -0.168367     -0.168363     -0.077947
     7      0.000003      0.000005     -0.168368     -0.168363     -0.077947
     8      0.000004      0.000006     -0.168369     -0.168363     -0.077947
     9      0.000005      0.000008     -0.168371     -0.168363     -0.077947
    10      0.000007      0.000010     -0.168373     -0.168363     -0.077948
    11      0.000008      0.000012     -0.168375     -0.168363     -0.077948
    12      0.000010      0.000014     -0.168378     -0.168363     -0.077949
    13      0.000011      0.000017     -0.168380     -0.168363     -0.077949
    14      0.000013      0.000020     -0.168383     -0.168363     -0.077950
    15      0.000015      0.000023     -0.168386     -0.168363     -0.077950
    16      0.000017      0.000026     -0.168390     -0.168363     -0.077951
    17      0.000020      0.000030     -0.168393     -0.168363     -0.077951
    18      0.000022      0.000033     -0.168397     -0.168363     -0.077952
    19      0.000025      0.000037     -0.168401     -0.168363     -0.077953
    20      0.000028      0.000042     -0.168405     -0.168363     -0.077953
    21      0.000031      0.000046     -0.168409     -0.168363     -0.077954
    22      0.000034      0.000051     -0.168414     -0.168363     -0.077955
    23      0.000037      0.000055     -0.168419     -0.168363     -0.077956
