#   8 April 2008  10:51:07.817 AM
#
#  MD1
#    FORTRAN90 version
#    A Molecular Dynamics simulation.
#    Last modified on 09 January 2006.
#
#READ_SAMPLE: Warning!
#  The coordinate data is NOT translated to have
#  zero center of mass.
#
# MD1: a minimal molecular dynamics program
#
#MD1 Test Run #2
#  Input sample: "md1_sample1.txt".
#          (positions, velocities, accelerations read from file)
# Output sample: "md1_sample2.txt".
# Number of steps:     100, time step: 0.0032, total time:      0.3200
# Number of atoms:  4000
# Box size:   30.000000   30.000000   30.000000, Volume:      27000.000
# Density:    0.148148 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential     Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
#
     1      0.000796      0.001194     -0.169557     -0.168363     -0.078163
     2      0.000813      0.001220     -0.169583     -0.168363     -0.078168
     3      0.000831      0.001246     -0.169609     -0.168363     -0.078172
     4      0.000848      0.001273     -0.169636     -0.168363     -0.078177
     5      0.000866      0.001300     -0.169663     -0.168363     -0.078182
     6      0.000885      0.001327     -0.169690     -0.168363     -0.078187
     7      0.000903      0.001354     -0.169718     -0.168363     -0.078192
     8      0.000922      0.001382     -0.169746     -0.168363     -0.078197
     9      0.000940      0.001411     -0.169774     -0.168363     -0.078202
    10      0.000960      0.001439     -0.169803     -0.168363     -0.078207
    11      0.000979      0.001468     -0.169832     -0.168363     -0.078213
    12      0.000998      0.001498     -0.169861     -0.168363     -0.078218
    13      0.001018      0.001527     -0.169891     -0.168363     -0.078223
    14      0.001038      0.001558     -0.169921     -0.168363     -0.078229
    15      0.001059      0.001588     -0.169951     -0.168363     -0.078234
    16      0.001079      0.001619     -0.169982     -0.168363     -0.078240
    17      0.001100      0.001650     -0.170014     -0.168363     -0.078246
    18      0.001121      0.001682     -0.170045     -0.168363     -0.078251
    19      0.001143      0.001714     -0.170077     -0.168363     -0.078257
    20      0.001164      0.001746     -0.170110     -0.168363     -0.078263
    21      0.001186      0.001779     -0.170142     -0.168363     -0.078269
    22      0.001208      0.001812     -0.170176     -0.168363     -0.078275
    23      0.001231      0.001846     -0.170209     -0.168363     -0.078281
    24      0.001253      0.001880     -0.170243     -0.168363     -0.078287
    25      0.001276      0.001914     -0.170278     -0.168363     -0.078294
    26      0.001299      0.001949     -0.170312     -0.168363     -0.078300
    27      0.001323      0.001984     -0.170348     -0.168363     -0.078306
    28      0.001347      0.002020     -0.170383     -0.168363     -0.078313
    29      0.001371      0.002056     -0.170419     -0.168363     -0.078319
    30      0.001395      0.002093     -0.170456     -0.168363     -0.078326
    31      0.001420      0.002130     -0.170493     -0.168363     -0.078333
    32      0.001445      0.002167     -0.170530     -0.168363     -0.078339
    33      0.001470      0.002205     -0.170568     -0.168363     -0.078346
    34      0.001495      0.002243     -0.170606     -0.168363     -0.078353
    35      0.001521      0.002282     -0.170645     -0.168363     -0.078360
    36      0.001547      0.002321     -0.170684     -0.168363     -0.078367
    37      0.001574      0.002360     -0.170724     -0.168363     -0.078374
    38      0.001600      0.002401     -0.170764     -0.168363     -0.078382
    39      0.001627      0.002441     -0.170804     -0.168363     -0.078389
    40      0.001655      0.002482     -0.170845     -0.168363     -0.078396
    41      0.001682      0.002524     -0.170887     -0.168363     -0.078404
    42      0.001710      0.002565     -0.170929     -0.168363     -0.078412
    43      0.001739      0.002608     -0.170971     -0.168363     -0.078419
    44      0.001767      0.002651     -0.171014     -0.168363     -0.078427
    45      0.001796      0.002694     -0.171057     -0.168363     -0.078435
    46      0.001825      0.002738     -0.171101     -0.168363     -0.078443
    47      0.001855      0.002782     -0.171146     -0.168363     -0.078451
    48      0.001885      0.002827     -0.171191     -0.168363     -0.078459
    49      0.001915      0.002873     -0.171236     -0.168363     -0.078467
    50      0.001946      0.002919     -0.171282     -0.168363     -0.078475
    51      0.001977      0.002965     -0.171328     -0.168363     -0.078484
    52      0.002008      0.003012     -0.171375     -0.168363     -0.078492
    53      0.002040      0.003060     -0.171423     -0.168363     -0.078501
    54      0.002072      0.003108     -0.171471     -0.168363     -0.078510
    55      0.002104      0.003156     -0.171519     -0.168363     -0.078518
    56      0.002137      0.003205     -0.171569     -0.168363     -0.078527
    57      0.002170      0.003255     -0.171618     -0.168363     -0.078536
    58      0.002203      0.003305     -0.171668     -0.168363     -0.078545
    59      0.002237      0.003356     -0.171719     -0.168363     -0.078555
    60      0.002271      0.003407     -0.171771     -0.168363     -0.078564
    61      0.002306      0.003459     -0.171822     -0.168363     -0.078573
    62      0.002341      0.003512     -0.171875     -0.168363     -0.078583
    63      0.002377      0.003565     -0.171928     -0.168363     -0.078592
    64      0.002412      0.003618     -0.171982     -0.168363     -0.078602
    65      0.002448      0.003673     -0.172036     -0.168363     -0.078612
    66      0.002485      0.003728     -0.172091     -0.168363     -0.078622
    67      0.002522      0.003783     -0.172146     -0.168363     -0.078632
    68      0.002559      0.003839     -0.172202     -0.168363     -0.078642
    69      0.002597      0.003896     -0.172259     -0.168363     -0.078652
    70      0.002636      0.003953     -0.172317     -0.168363     -0.078663
    71      0.002674      0.004011     -0.172375     -0.168363     -0.078673
    72      0.002713      0.004070     -0.172433     -0.168363     -0.078684
    73      0.002753      0.004129     -0.172492     -0.168363     -0.078694
    74      0.002793      0.004189     -0.172552     -0.168363     -0.078705
    75      0.002833      0.004250     -0.172613     -0.168363     -0.078716
    76      0.002874      0.004311     -0.172674     -0.168363     -0.078727
    77      0.002915      0.004373     -0.172736     -0.168363     -0.078738
    78      0.002957      0.004436     -0.172799     -0.168363     -0.078750
    79      0.002999      0.004499     -0.172862     -0.168363     -0.078761
    80      0.003042      0.004563     -0.172926     -0.168363     -0.078773
    81      0.003085      0.004628     -0.172991     -0.168363     -0.078784
    82      0.003129      0.004693     -0.173056     -0.168363     -0.078796
    83      0.003173      0.004759     -0.173123     -0.168363     -0.078808
    84      0.003217      0.004826     -0.173189     -0.168363     -0.078820
    85      0.003263      0.004894     -0.173257     -0.168363     -0.078832
    86      0.003308      0.004962     -0.173325     -0.168363     -0.078845
    87      0.003354      0.005031     -0.173395     -0.168363     -0.078857
    88      0.003401      0.005101     -0.173464     -0.168363     -0.078870
    89      0.003448      0.005172     -0.173535     -0.168363     -0.078883
    90      0.003496      0.005243     -0.173607     -0.168363     -0.078896
    91      0.003544      0.005316     -0.173679     -0.168363     -0.078909
    92      0.003592      0.005389     -0.173752     -0.168363     -0.078922
    93      0.003642      0.005462     -0.173826     -0.168363     -0.078935
    94      0.003691      0.005537     -0.173900     -0.168363     -0.078948
    95      0.003742      0.005613     -0.173976     -0.168363     -0.078962
    96      0.003793      0.005689     -0.174052     -0.168363     -0.078976
    97      0.003844      0.005766     -0.174129     -0.168363     -0.078990
    98      0.003896      0.005844     -0.174207     -0.168363     -0.079004
    99      0.003949      0.005923     -0.174286     -0.168363     -0.079018
   100      0.004002      0.006003     -0.174366     -0.168363     -0.079032
#
# Means      0.002109      0.003163     -0.171526     -0.168363     -0.078519
#
#  MD1:
#    Normal end of execution.
#
#   8 April 2008  10:54:40.108 AM
