15 May 2007   8:29:25.211 AM                                                    
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "ccsp_d2_level3_x.txt".
  Quadrature rule W file = "ccsp_d2_level3_w.txt".
  Quadrature rule R file = "ccsp_d2_level3_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        2
  Number of points  =       29
 
          Error          Degree  Exponents
 
        0.0000000000000016    0     0 0
 
        0.0000000000000016    1     1 0
        0.0000000000000016    1     0 1
 
        0.0000000000000011    2     2 0
        0.0000000000000013    2     1 1
        0.0000000000000009    2     0 2
 
        0.0000000000000007    3     3 0
        0.0000000000000011    3     2 1
        0.0000000000000011    3     1 2
        0.0000000000000007    3     0 3
 
        0.0000000000000004    4     4 0
        0.0000000000000007    4     3 1
        0.0000000000000007    4     2 2
        0.0000000000000007    4     1 3
        0.0000000000000002    4     0 4
 
        0.0000000000000002    5     5 0
        0.0000000000000002    5     4 1
        0.0000000000000004    5     3 2
        0.0000000000000004    5     2 3
        0.0000000000000002    5     1 4
        0.0000000000000002    5     0 5
 
        0.0000000000000004    6     6 0
        0.0000000000000002    6     5 1
        0.0000000000000002    6     4 2
        0.0000000000000000    6     3 3
        0.0000000000000002    6     2 4
        0.0000000000000002    6     1 5
        0.0000000000000002    6     0 6
 
        0.0000000000000000    7     7 0
        0.0000000000000002    7     6 1
        0.0000000000000002    7     5 2
        0.0000000000000000    7     4 3
        0.0000000000000001    7     3 4
        0.0000000000000002    7     2 5
        0.0000000000000002    7     1 6
        0.0000000000000000    7     0 7
 
        0.0000000000000002    8     8 0
        0.0000000000000000    8     7 1
        0.0002604166666667    8     6 2
        0.0000000000000000    8     5 3
        0.0017361111111114    8     4 4
        0.0000000000000000    8     3 5
        0.0002604166666664    8     2 6
        0.0000000000000000    8     1 7
        0.0000000000000002    8     0 8
 
        0.0000000000000002    9     9 0
        0.0000000000000002    9     8 1
        0.0010416666666667    9     7 2
        0.0005208333333335    9     6 3
        0.0052083333333334    9     5 4
        0.0052083333333334    9     4 5
        0.0005208333333335    9     3 6
        0.0010416666666667    9     2 7
        0.0000000000000002    9     1 8
        0.0000000000000004    9     0 9
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
15 May 2007   8:29:25.238 AM                                                    
