 6 December 2007   3:00:06.308 PM                                               
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "cc_d2_level4_x.txt".
  Quadrature rule W file = "cc_d2_level4_w.txt".
  Quadrature rule R file = "cc_d2_level4_r.txt".
  Maximum total degree to check =       17
 
  Spatial dimension =        2
  Number of points  =       65
 
          Error          Degree  Exponents
 
        0.0000000000000002    0     0 0
 
        0.0000000000000004    1     1 0
        0.0000000000000002    1     0 1
 
        0.0000000000000004    2     2 0
        0.0000000000000002    2     1 1
        0.0000000000000004    2     0 2
 
        0.0000000000000004    3     3 0
        0.0000000000000004    3     2 1
        0.0000000000000004    3     1 2
        0.0000000000000002    3     0 3
 
        0.0000000000000004    4     4 0
        0.0000000000000004    4     3 1
        0.0000000000000004    4     2 2
        0.0000000000000004    4     1 3
        0.0000000000000004    4     0 4
 
        0.0000000000000004    5     5 0
        0.0000000000000002    5     4 1
        0.0000000000000004    5     3 2
        0.0000000000000004    5     2 3
        0.0000000000000007    5     1 4
        0.0000000000000004    5     0 5
 
        0.0000000000000007    6     6 0
        0.0000000000000004    6     5 1
        0.0000000000000002    6     4 2
        0.0000000000000004    6     3 3
        0.0000000000000002    6     2 4
        0.0000000000000004    6     1 5
        0.0000000000000007    6     0 6
 
        0.0000000000000007    7     7 0
        0.0000000000000000    7     6 1
        0.0000000000000004    7     5 2
        0.0000000000000009    7     4 3
        0.0000000000000007    7     3 4
        0.0000000000000004    7     2 5
        0.0000000000000007    7     1 6
        0.0000000000000007    7     0 7
 
        0.0000000000000004    8     8 0
        0.0000000000000004    8     7 1
        0.0000000000000002    8     6 2
        0.0000000000000004    8     5 3
        0.0000000000000007    8     4 4
        0.0000000000000004    8     3 5
        0.0000000000000007    8     2 6
        0.0000000000000002    8     1 7
        0.0000000000000004    8     0 8
 
        0.0000000000000002    9     9 0
        0.0000000000000007    9     8 1
        0.0000000000000004    9     7 2
        0.0000000000000004    9     6 3
        0.0000000000000004    9     5 4
        0.0000000000000002    9     4 5
        0.0000000000000007    9     3 6
        0.0000000000000009    9     2 7
        0.0000000000000007    9     1 8
        0.0000000000000000    9     0 9
 
        0.0000000000000007   10    10 0
        0.0000000000000004   10     9 1
        0.0000000000000007   10     8 2
        0.0000000000000007   10     7 3
        0.0000434027777785   10     6 4
        0.0000000000000007   10     5 5
        0.0000434027777785   10     4 6
        0.0000000000000009   10     3 7
        0.0000000000000007   10     2 8
        0.0000000000000004   10     1 9
        0.0000000000000009   10     010
 
        0.0000000000000016   11    11 0
        0.0000000000000009   11    10 1
        0.0000000000000011   11     9 2
        0.0000000000000004   11     8 3
        0.0001736111111115   11     7 4
        0.0001302083333341   11     6 5
        0.0001302083333341   11     5 6
        0.0001736111111115   11     4 7
        0.0000000000000007   11     3 8
        0.0000000000000011   11     2 9
        0.0000000000000009   11     110
        0.0000000000000013   11     011
 
        0.0000000000000011   12    12 0
        0.0000000000000009   12    11 1
        0.0000000968811992   12    10 2
        0.0000000000000013   12     9 3
        0.0004069010416672   12     8 4
        0.0005208333333342   12     7 5
        0.0005002170138888   12     6 6
        0.0005208333333342   12     5 7
        0.0004069010416672   12     4 8
        0.0000000000000009   12     3 9
        0.0000000968811992   12     210
        0.0000000000000009   12     111
        0.0000000000000009   12     012
 
        0.0000000000000009   13    13 0
        0.0000000000000009   13    12 1
        0.0000005812872012   13    11 2
        0.0000001937623998   13    10 3
        0.0007324218750004   13     9 4
        0.0012207031250004   13     8 5
        0.0013932291666674   13     7 6
        0.0013932291666676   13     6 7
        0.0012207031250002   13     5 8
        0.0007324218750004   13     4 9
        0.0000001937623998   13     310
        0.0000005812872015   13     211
        0.0000000000000007   13     112
        0.0000000000000016   13     013
 
        0.0000000000000011   14    14 0
        0.0000000000000013   14    13 1
        0.0000019981747572   14    12 2
        0.0000011625744040   14    11 3
        0.0011220861364305   14    10 4
        0.0021972656250009   14     9 5
        0.0028951009114595   14     8 6
        0.0031423611111121   14     7 7
        0.0028951009114593   14     6 8
        0.0021972656250009   14     5 9
        0.0011220861364307   14     410
        0.0000011625744040   14     311
        0.0000019981747571   14     212
        0.0000000000000011   14     113
        0.0000000000000007   14     014
 
        0.0000000000000009   15    15 0
        0.0000000000000013   15    14 1
        0.0000051710340699   15    13 2
        0.0000039963495154   15    12 3
        0.0015404595269104   15    11 4
        0.0033667428152910   15    10 5
        0.0049377441406260   15     9 6
        0.0058837890625012   15     8 7
        0.0058837890625010   15     7 8
        0.0049377441406264   15     6 9
        0.0033667428152910   15     510
        0.0015404595269106   15     411
        0.0000039963495151   15     312
        0.0000051710340699   15     213
        0.0000000000000011   15     114
        0.0000000000000011   15     015
 
        0.0000000000000011   16    16 0
        0.0000000000000016   16    15 1
        0.0000112056732168   16    14 2
        0.0000103420681407   16    13 3
        0.0019516203138576   16    12 4
        0.0046242850167422   16    11 5
        0.0073567567048258   16    10 6
        0.0094970703125012   16     9 7
        0.0103187561035170   16     8 8
        0.0094970703125012   16     7 9
        0.0073567567048261   16     610
        0.0046242850167419   16     511
        0.0019516203138570   16     412
        0.0000103420681409   16     313
        0.0000112056732166   16     214
        0.0000000000000009   16     115
        0.0000000000000011   16     016
 
        0.0000000000000013   17    17 0
        0.0000000000000009   17    16 1
        0.0000214894612620   17    15 2
        0.0000224113464351   17    14 3
        0.0023229881569200   17    13 4
        0.0058648518153610   17    12 5
        0.0099490525987422   17    11 6
        0.0137151082356781   17    10 7
        0.0160102844238292   17     9 8
        0.0160102844238292   17     8 9
        0.0137151082356781   17     710
        0.0099490525987420   17     611
        0.0058648518153612   17     512
        0.0023229881569204   17     413
        0.0000224113464343   17     314
        0.0000214894612617   17     215
        0.0000000000000013   17     116
        0.0000000000000016   17     017
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
 6 December 2007   3:00:06.321 PM                                               
