 7 May 2007   6:33:36.019 AM
 
NINT_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.
 
  The rule will be adjusted to the [0,1] hypercube.
 
NINT_EXACTNESS: User input:
  Quadrature rule X file = "x.txt".
  Quadrature rule W file = "w.txt".
  Quadrature rule R file = "r.txt".
  Maximum total degree to check =        5
 
  Spatial dimension =        3
  Number of points  =       27
 
          Error          Degree  Exponents
 
        0.0000000000000007   0   0 0 0
 
        0.0000000000000001   1   1 0 0
        0.0000000000000002   1   0 1 0
        0.0000000000000000   1   0 0 1
 
        0.0000000000000004   2   2 0 0
        0.0000000000000001   2   1 1 0
        0.0000000000000002   2   0 2 0
        0.0000000000000000   2   1 0 1
        0.0000000000000001   2   0 1 1
        0.0000000000000004   2   0 0 2
 
        0.0000000000000002   3   3 0 0
        0.0000000000000002   3   2 1 0
        0.0000000000000002   3   1 2 0
        0.0000000000000000   3   0 3 0
        0.0000000000000002   3   2 0 1
        0.0000000000000000   3   1 1 1
        0.0000000000000000   3   0 2 1
        0.0000000000000002   3   1 0 2
        0.0000000000000000   3   0 1 2
        0.0000000000000002   3   0 0 3
 
        0.0000000000000002   4   4 0 0
        0.0000000000000000   4   3 1 0
        0.0000000000000004   4   2 2 0
        0.0000000000000000   4   1 3 0
        0.0000000000000002   4   0 4 0
        0.0000000000000002   4   3 0 1
        0.0000000000000002   4   2 1 1
        0.0000000000000002   4   1 2 1
        0.0000000000000002   4   0 3 1
        0.0000000000000004   4   2 0 2
        0.0000000000000002   4   1 1 2
        0.0000000000000002   4   0 2 2
        0.0000000000000000   4   1 0 3
        0.0000000000000002   4   0 1 3
        0.0000000000000002   4   0 0 4
 
        0.0000000000000004   5   5 0 0
        0.0000000000000002   5   4 1 0
        0.0000000000000002   5   3 2 0
        0.0000000000000002   5   2 3 0
        0.0000000000000002   5   1 4 0
        0.0000000000000004   5   0 5 0
        0.0000000000000002   5   4 0 1
        0.0000000000000000   5   3 1 1
        0.0000000000000002   5   2 2 1
        0.0000000000000000   5   1 3 1
        0.0000000000000004   5   0 4 1
        0.0000000000000004   5   3 0 2
        0.0000000000000002   5   2 1 2
        0.0000000000000002   5   1 2 2
        0.0000000000000002   5   0 3 2
        0.0000000000000002   5   2 0 3
        0.0000000000000000   5   1 1 3
        0.0000000000000002   5   0 2 3
        0.0000000000000004   5   1 0 4
        0.0000000000000004   5   0 1 4
        0.0000000000000007   5   0 0 5
 
 
NINT_EXACTNESS:
  Normal end of execution.
 
 7 May 2007   6:33:36.030 AM
