16 October 2008   9:53:03.218 PM
 
NINT_EXACTNESS_MIXED
  FORTRAN90 version
 
  Investigate the polynomial exactness of
  a multidimensional quadrature rule
  for a region R = R1 x R2 x ... x RM.
 
  Individual rules may be for:
 
  Legendre:
  region: [-1,+1]
  weight: w(x)=1
  rules: Gauss-Legendre, Clenshaw-Curtis, Fejer2, Gauss-Patterson
 
  Jacobi:
  region: [-1,+1]
  weight: w(x)=(1-x)^alpha (1+x)^beta
  rules: Gauss-Jacobi
 
  Laguerre:
  region: [0,+oo)
  weight: w(x)=exp(-x)
  rules: Gauss-Laguerre
 
  Generalized Laguerre:
  region: [0,+oo)
  weight: w(x)=x^alpha exp(-x)
  rules: Generalized Gauss-Laguerre
 
  Hermite:
  region: (-oo,+o)
  weight: w(x)=exp(-x*x)
  rules: Gauss-Hermite
 
  Generalized Hermite:
  region: (-oo,+oo)
  weight: w(x)=|x|^alpha exp(-x*x)
  rules: generalized Gauss-Hermite
 
NINT_EXACTNESS: User input:
  Quadrature rule A file = "sparse_grid_mixed_d3_l2_ccxf2xgh_a.txt".
  Quadrature rule B file = "sparse_grid_mixed_d3_l2_ccxf2xgh_b.txt".
  Quadrature rule R file = "sparse_grid_mixed_d3_l2_ccxf2xgh_r.txt".
  Quadrature rule W file = "sparse_grid_mixed_d3_l2_ccxf2xgh_w.txt".
  Quadrature rule X file = "sparse_grid_mixed_d3_l2_ccxf2xgh_x.txt".
  Maximum total degree to check =        7
 
  Spatial dimension =        3
  Number of points  =       31
 
  Analysis of integration region:
 
     1    Gauss Legendre
     2    Gauss Legendre
     3    Gauss Hermite.
 
          Error          Degree  Exponents
 
        0.0000000000000005    0     0 0 0
 
        0.0000000000000000    1     1 0 0
        0.0000000000000007    1     0 1 0
        0.0000000000000001    1     0 0 1
 
        0.0000000000000004    2     2 0 0
        0.0000000000000000    2     1 1 0
        0.0000000000000000    2     0 2 0
        0.0000000000000000    2     1 0 1
        0.0000000000000000    2     0 1 1
        0.0000000000000001    2     0 0 2
 
        0.0000000000000000    3     3 0 0
        0.0000000000000000    3     2 1 0
        0.0000000000000000    3     1 2 0
        0.0000000000000002    3     0 3 0
        0.0000000000000000    3     2 0 1
        0.0000000000000000    3     1 1 1
        0.0000000000000000    3     0 2 1
        0.0000000000000000    3     1 0 2
        0.0000000000000002    3     0 1 2
        0.0000000000000001    3     0 0 3
 
        0.0000000000000006    4     4 0 0
        0.0000000000000000    4     3 1 0
        0.0000000000000001    4     2 2 0
        0.0000000000000000    4     1 3 0
        0.0000000000000002    4     0 4 0
        0.0000000000000000    4     3 0 1
        0.0000000000000000    4     2 1 1
        0.0000000000000000    4     1 2 1
        0.0000000000000000    4     0 3 1
        0.0000000000000002    4     2 0 2
        0.0000000000000000    4     1 1 2
        0.0000000000000002    4     0 2 2
        0.0000000000000000    4     1 0 3
        0.0000000000000000    4     0 1 3
        0.0000000000000002    4     0 0 4
 
        0.0000000000000000    5     5 0 0
        0.0000000000000000    5     4 1 0
        0.0000000000000000    5     3 2 0
        0.0000000000000000    5     2 3 0
        0.0000000000000000    5     1 4 0
        0.0000000000000001    5     0 5 0
        0.0000000000000000    5     4 0 1
        0.0000000000000000    5     3 1 1
        0.0000000000000000    5     2 2 1
        0.0000000000000000    5     1 3 1
        0.0000000000000000    5     0 4 1
        0.0000000000000000    5     3 0 2
        0.0000000000000000    5     2 1 2
        0.0000000000000000    5     1 2 2
        0.0000000000000001    5     0 3 2
        0.0000000000000000    5     2 0 3
        0.0000000000000000    5     1 1 3
        0.0000000000000000    5     0 2 3
        0.0000000000000000    5     1 0 4
        0.0000000000000002    5     0 1 4
        0.0000000000000001    5     0 0 5
 
        0.0666666666666673    6     6 0 0
        0.0000000000000000    6     5 1 0
        0.6666666666666667    6     4 2 0
        0.0000000000000000    6     3 3 0
        0.1666666666666667    6     2 4 0
        0.0000000000000000    6     1 5 0
        0.0000000000000007    6     0 6 0
        0.0000000000000000    6     5 0 1
        0.0000000000000000    6     4 1 1
        0.0000000000000000    6     3 2 1
        0.0000000000000000    6     2 3 1
        0.0000000000000000    6     1 4 1
        0.0000000000000000    6     0 5 1
        0.6666666666666667    6     4 0 2
        0.0000000000000000    6     3 1 2
        1.0000000000000000    6     2 2 2
        0.0000000000000000    6     1 3 2
        0.1666666666666671    6     0 4 2
        0.0000000000000000    6     3 0 3
        0.0000000000000000    6     2 1 3
        0.0000000000000000    6     1 2 3
        0.0000000000000000    6     0 3 3
        0.0000000000000001    6     2 0 4
        0.0000000000000000    6     1 1 4
        0.0000000000000003    6     0 2 4
        0.0000000000000000    6     1 0 5
        0.0000000000000000    6     0 1 5
        0.0000000000000009    6     0 0 6
 
        0.0000000000000000    7     7 0 0
        0.0000000000000000    7     6 1 0
        0.0000000000000000    7     5 2 0
        0.0000000000000000    7     4 3 0
        0.0000000000000000    7     3 4 0
        0.0000000000000000    7     2 5 0
        0.0000000000000000    7     1 6 0
        0.0000000000000000    7     0 7 0
        0.0000000000000000    7     6 0 1
        0.0000000000000000    7     5 1 1
        0.0000000000000000    7     4 2 1
        0.0000000000000000    7     3 3 1
        0.0000000000000000    7     2 4 1
        0.0000000000000000    7     1 5 1
        0.0000000000000000    7     0 6 1
        0.0000000000000000    7     5 0 2
        0.0000000000000000    7     4 1 2
        0.0000000000000000    7     3 2 2
        0.0000000000000000    7     2 3 2
        0.0000000000000000    7     1 4 2
        0.0000000000000001    7     0 5 2
        0.0000000000000000    7     4 0 3
        0.0000000000000000    7     3 1 3
        0.0000000000000000    7     2 2 3
        0.0000000000000000    7     1 3 3
        0.0000000000000000    7     0 4 3
        0.0000000000000000    7     3 0 4
        0.0000000000000000    7     2 1 4
        0.0000000000000000    7     1 2 4
        0.0000000000000001    7     0 3 4
        0.0000000000000000    7     2 0 5
        0.0000000000000000    7     1 1 5
        0.0000000000000000    7     0 2 5
        0.0000000000000000    7     1 0 6
        0.0000000000000004    7     0 1 6
        0.0000000000000004    7     0 0 7
 
 
NINT_EXACTNESS_MIXED:
  Normal end of execution.
 
16 October 2008   9:53:03.229 PM
