   1  314.88        1/58
   2  315.62        2/58
   3  316.33        3/58
   4  317.59        4/58
   5  317.93        5/58
   6  317.71        6/58
   7  315.92        7/58
   8  315.15        8/58
   9  314.02        9/58
  10  312.83       10/58
  11  313.64       11/58
  12  314.71       12/58
  13  315.62        1/59
  14  316.59        2/59
  15  316.94        3/59
  16  317.77        4/59
  17  318.29        5/59
  18  318.24        6/59
  19  316.67        7/59
  20  314.96        8/59
  21  314.12        9/59
  22  313.58       10/59
  23  315.14       11/59
  24  315.77       12/59
  25  316.62        1/60
  26  317.16        2/60
  27  317.90        3/60
  28  319.21        4/60
  29  320.02        5/60
  30  319.74        6/60
  31  318.15        7/60
  32  316.00        8/60
  33  314.23        9/60
  34  314.07       10/60
  35  315.04       11/60
  36  316.19       12/60
  37  316.97        1/61
  38  317.74        2/61
  39  318.63        3/61
  40  319.43        4/61
  41  320.47        5/61
  42  319.71       6/61
  43  318.78        7/61
  44  316.84        8/61
  45  315.16        9/61
  46  315.56       10/61
  47  316.14       11/61
  48  317.13       12/61
  49  318.06        1/62
  50  318.59        2/62
  51  319.74        3/62
  52  320.63        4/62
  53  321.21        5/62
  54  320.83        6/62
  55  319.55        7/62
  56  317.75        8/62
  57  316.27        9/62
  58  315.62       10/62
  59  316.84       11/62
  60  317.70       12/62
  61  318.80        1/63
  62  319.08        2/63
  63  320.15        3/63
  64  321.49        4/63
  65  322.25        5/63
  66  321.50        6/63
  67  319.67        7/63
  68  317.61        8/63
  69  316.25        9/63
  70  316.17       10/63
  71  317.01       11/63
  72  318.36       12/63
  73  319.37        1/64
  74  319.93        2/64
  75  320.40        3/64
  76  321.65       4/64
  77  322.26        5/64
  78  322.19        6/64
  79  320.49        7/64
  80  318.48        8/64
  81  317.13        9/64
  82  317.02       10/64
  83  317.84       11/64
  84  318.78       12/64
  85  319.55        1/65
  86  320.65        2/65
  87  321.15        3/65
  88  322.31        4/65
  89  322.35        5/65
  90  322.19        6/65
  91  321.53        7/65
  92  319.13        8/65
  93  317.99        9/65
  94  317.70       10/65
  95  319.15       11/65
  96  319.27       12/65
  97  320.22        1/66
  98  321.23        2/66
  99  322.13        3/66
 100  323.30        4/66
 101  323.57        5/66
 102  323.29        6/66
 103  322.36        7/66
 104  319.71        8/66
 105  317.89        9/66
 106  317.54       10/66
 107  319.36       11/66
 108  320.51       12/66
 109  321.80        1/67
 110  322.03        2/67
 111  322.50        3/67
 112  324.00        4/67
 113  324.46        5/67
 114  323.46        6/67
 115  322.19        7/67
 116  320.57        8/67
 117  318.91        9/67
 118  318.81       10/67
 119  320.24       11/67
 120  321.59       12/67
 121  322.15        1/68
 122  322.73        2/68
 123  323.50        3/68
 124  324.52        4/68
 125  325.11        5/68
 126  325.06        6/68
 127  323.62        7/68
 128  321.55       8/68
 129  319.89        9/68
 130  319.80       10/68
 131  320.73       11/68
 132  322.25       12/68
 133  323.73        1/69
 134  324.53        2/69
 135  325.62        3/69
 136  326.58        4/69
 137  327.24        5/69
 138  326.53        6/69
 139  325.63        7/69
 140  323.28        8/69
 141  322.21        9/69
 142  321.67       10/69
 143  322.61      11/69
 144  324.07       12/69
 145  324.91      1/70
 146  325.81    2/70
 147  326.85        3/70
 148  328.07        4/70
 149  327.97        5/70
 150  327.77        6/70
 151  326.44        7/70
 152  324.92        8/70
 153  323.49        9/70
 154  323.50       10/70
 155  324.34       11/70
 156  325.39       12/70
 157  326.46        1/71
 158  326.93        2/71
 159  327.56        3/71
 160  328.23        4/71
 161  329.51        5/71
 162  329.04        6/71
 163  327.87        7/71
 164  326.00        8/71
 165  324.06        9/71
 166  324.20       10/71
 167  325.48       11/71
 168  326.62       12/71
 169  327.30        1/72
 170  328.20        2/72
 171  328.50        3/72
 172  330.22        4/72
 173  330.58        5/72
 174  329.48        6/72
 175  328.56        7/72
 176  326.77        8/72
 177  325.39        9/72
 178  325.72       10/72
 179  326.97       11/72
 180  328.09       12/72
 181  329.16        1/73
 182  330.02        2/73
 183  330.95        3/73
 184  331.95        4/73
 185  332.85        5/73
 186  332.58        6/73
 187  331.30        7/73
 188  329.64        8/73
 189  328.12        9/73
 190  327.67       10/73
 191  328.69       11/73
 192  329.07       12/73
 193  329.84        1/74
 194  331.17        2/74
 195  331.94        3/74
 196  333.20        4/74
 197  333.55        5/74
 198  332.76        6/74
 199  331.79        7/74
 200  329.61        8/74
 201  327.88        9/74
 202  327.85       10/74
 203  328.79       11/74
 204  330.13      12/74
 205  330.64        1/75
 206  331.21        2/75
 207  331.88        3/75
 208  333.13        4/75
 209  333.76        5/75
 210  333.74        6/75
 211  332.05        7/75
 212  330.40        8/75
 213  328.89        9/75
 214  328.55       10/75
 215  329.57       11/75
 216  330.83       12/75
