28 October 2011   9:09:46.589 AM
 
POISSON_SERIAL:
  FORTRAN90 version
  A program for solving the Poisson equation.
 
  -DEL^2 U = F(X,Y)
 
  on the rectangle 0 <= X <= 1, 0 <= Y <= 1.
 
  F(X,Y) = pi^2 * ( x^2 + y^2 ) * sin ( pi * x * y )
 
  The number of interior X grid points is       11
  The number of interior Y grid points is       11
  The X grid spacing is     0.1000
  The Y grid spacing is     0.1000
  RMS of F =    4.81514    
  RMS of exact solution =   0.600498    
 
  Step    ||Unew||     ||Unew-U||     ||Unew-Exact||
 
     0    0.287480                        0.527212    
     1    0.298714        0.811520E-01    0.479377    
     2    0.313895        0.482049E-01    0.444443    
     3    0.328591        0.367994E-01    0.415173    
     4    0.342452        0.305623E-01    0.389501    
     5    0.355491        0.264622E-01    0.366455    
     6    0.367769        0.234780E-01    0.345474    
     7    0.379349        0.211625E-01    0.326193    
     8    0.390285        0.192859E-01    0.308357    
     9    0.400628        0.177173E-01    0.291774    
    10    0.410419        0.163753E-01    0.276297    
    11    0.419697        0.152067E-01    0.261808    
    12    0.428494        0.141749E-01    0.248209    
    13    0.436842        0.132537E-01    0.235421    
    14    0.444767        0.124237E-01    0.223376    
    15    0.452295        0.116703E-01    0.212012    
    16    0.459448        0.109820E-01    0.201281    
    17    0.466248        0.103498E-01    0.191135    
    18    0.472715        0.976654E-02    0.181535    
    19    0.478865        0.922625E-02    0.172446    
    20    0.484717        0.872406E-02    0.163833    
    21    0.490286        0.825588E-02    0.155668    
    22    0.495586        0.781826E-02    0.147925    
    23    0.500632        0.740828E-02    0.140578    
    24    0.505435        0.702342E-02    0.133604    
    25    0.510009        0.666152E-02    0.126984    
    26    0.514365        0.632069E-02    0.120697    
    27    0.518513        0.599928E-02    0.114725    
    28    0.522464        0.569583E-02    0.109052    
    29    0.526227        0.540904E-02    0.103661    
    30    0.529811        0.513778E-02    0.985389E-01
    31    0.533225        0.488100E-02    0.936705E-01
    32    0.536476        0.463777E-02    0.890431E-01
    33    0.539574        0.440725E-02    0.846444E-01
    34    0.542524        0.418867E-02    0.804627E-01
    35    0.545335        0.398131E-02    0.764873E-01
    36    0.548012        0.378455E-02    0.727076E-01
    37    0.550561        0.359776E-02    0.691138E-01
    38    0.552990        0.342041E-02    0.656968E-01
    39    0.555303        0.325197E-02    0.624476E-01
    40    0.557507        0.309196E-02    0.593580E-01
    41    0.559605        0.293995E-02    0.564200E-01
    42    0.561604        0.279550E-02    0.536262E-01
    43    0.563507        0.265822E-02    0.509694E-01
    44    0.565319        0.252775E-02    0.484429E-01
    45    0.567045        0.240373E-02    0.460402E-01
    46    0.568689        0.228584E-02    0.437552E-01
    47    0.570254        0.217376E-02    0.415822E-01
    48    0.571744        0.206721E-02    0.395157E-01
    49    0.573163        0.196590E-02    0.375504E-01
    50    0.574514        0.186957E-02    0.356813E-01
    51    0.575801        0.177798E-02    0.339038E-01
    52    0.577025        0.169089E-02    0.322134E-01
    53    0.578191        0.160807E-02    0.306057E-01
    54    0.579301        0.152932E-02    0.290767E-01
    55    0.580358        0.145443E-02    0.276226E-01
    56    0.581364        0.138322E-02    0.262397E-01
    57    0.582321        0.131549E-02    0.249245E-01
    58    0.583232        0.125108E-02    0.236737E-01
    59    0.584100        0.118984E-02    0.224841E-01
    60    0.584925        0.113159E-02    0.213527E-01
    61    0.585711        0.107619E-02    0.202768E-01
    62    0.586459        0.102351E-02    0.192535E-01
    63    0.587171        0.973408E-03    0.182803E-01
    64    0.587848        0.925760E-03    0.173548E-01
    65    0.588493        0.880445E-03    0.164746E-01
    66    0.589106        0.837349E-03    0.156375E-01
    67    0.589690        0.796363E-03    0.148414E-01
    68    0.590246        0.757384E-03    0.140842E-01
    69    0.590775        0.720313E-03    0.133641E-01
    70    0.591278        0.685056E-03    0.126793E-01
    71    0.591756        0.651526E-03    0.120281E-01
    72    0.592212        0.619637E-03    0.114087E-01
    73    0.592645        0.589308E-03    0.108197E-01
    74    0.593057        0.560465E-03    0.102595E-01
    75    0.593450        0.533033E-03    0.972673E-02
    76    0.593823        0.506944E-03    0.922009E-02
    77    0.594178        0.482132E-03    0.873828E-02
    78    0.594516        0.458535E-03    0.828008E-02
    79    0.594837        0.436092E-03    0.784434E-02
    80    0.595143        0.414748E-03    0.742996E-02
    81    0.595434        0.394448E-03    0.703590E-02
    82    0.595711        0.375143E-03    0.666117E-02
    83    0.595974        0.356782E-03    0.630482E-02
    84    0.596225        0.339320E-03    0.596596E-02
    85    0.596463        0.322712E-03    0.564373E-02
    86    0.596690        0.306917E-03    0.533732E-02
    87    0.596906        0.291896E-03    0.504597E-02
    88    0.597111        0.277609E-03    0.476893E-02
    89    0.597306        0.264022E-03    0.450552E-02
    90    0.597492        0.251100E-03    0.425507E-02
    91    0.597668        0.238810E-03    0.401695E-02
    92    0.597836        0.227122E-03    0.379057E-02
    93    0.597996        0.216006E-03    0.357535E-02
    94    0.598148        0.205434E-03    0.337075E-02
    95    0.598293        0.195379E-03    0.317627E-02
    96    0.598430        0.185816E-03    0.299142E-02
    97    0.598561        0.176722E-03    0.281573E-02
    98    0.598686        0.168073E-03    0.264876E-02
    99    0.598804        0.159846E-03    0.249011E-02
   100    0.598916        0.152023E-03    0.233936E-02
   101    0.599024        0.144582E-03    0.219616E-02
   102    0.599125        0.137506E-03    0.206015E-02
   103    0.599222        0.130776E-03    0.193099E-02
   104    0.599315        0.124375E-03    0.180836E-02
   105    0.599402        0.118288E-03    0.169198E-02
   106    0.599486        0.112499E-03    0.158155E-02
   107    0.599565        0.106993E-03    0.147681E-02
