 
PRIME_MPI
  FORTRAN90/MPI version
 
  An MPI example program to count the number of primes.
  The number of processes is        8
 
         N        Pi          Time
 
         1         0  0.519178E-01
         2         1  0.429029E-01
         4         2  0.429690E-01
         8         4  0.529671E-01
        16         6  0.579779E-01
        32        11  0.429339E-01
        64        18  0.499680E-01
       128        31  0.389700E-01
       256        54  0.389612E-01
       512        97  0.389500E-01
      1024       172  0.389650E-01
      2048       309  0.389712E-01
      4096       564  0.389750E-01
      8192      1028  0.649550E-01
     16384      1900  0.210967    
     32768      3512  0.781955    
     65536      6542   3.01995    
    131072     12251   11.5538    
 
PRIME_MPI:
  Normal end of execution.
