28 July 2009   8:20:34.260 PM
 
NINT_EXACTNESS_PYRAMID
  FORTRAN90 version
 
  Investigate the polynomial exactness of
  a quadrature rule for the pyramid.
 
NINT_EXACTNESS_PYRAMID: User input:
  Quadrature rule W file = "pyramid_l3x3_j3_w.txt".
  Quadrature rule X file = "pyramid_l3x3_j3_x.txt".
  Maximum total degree to check =        6
 
  Spatial dimension =        3
  Number of points  =       27
 
          Error          Degree  Exponents
 
        0.0000000000000016    0     0 0 0
 
        0.0000000000000000    1     1 0 0
        0.0000000000000000    1     0 1 0
        0.0000000000000001    1     0 0 1
 
        0.0000000000000002    2     2 0 0
        0.0000000000000000    2     1 1 0
        0.0000000000000003    2     0 2 0
        0.0000000000000000    2     1 0 1
        0.0000000000000000    2     0 1 1
        0.0000000000000001    2     0 0 2
 
        0.0000000000000000    3     3 0 0
        0.0000000000000000    3     2 1 0
        0.0000000000000000    3     1 2 0
        0.0000000000000000    3     0 3 0
        0.0000000000000000    3     2 0 1
        0.0000000000000000    3     1 1 1
        0.0000000000000000    3     0 2 1
        0.0000000000000000    3     1 0 2
        0.0000000000000000    3     0 1 2
        0.0000000000000002    3     0 0 3
 
        0.0000000000000001    4     4 0 0
        0.0000000000000000    4     3 1 0
        0.0000000000000001    4     2 2 0
        0.0000000000000000    4     1 3 0
        0.0000000000000001    4     0 4 0
        0.0000000000000000    4     3 0 1
        0.0000000000000000    4     2 1 1
        0.0000000000000000    4     1 2 1
        0.0000000000000000    4     0 3 1
        0.0000000000000001    4     2 0 2
        0.0000000000000000    4     1 1 2
        0.0000000000000001    4     0 2 2
        0.0000000000000000    4     1 0 3
        0.0000000000000000    4     0 1 3
        0.0000000000000001    4     0 0 4
 
        0.0000000000000000    5     5 0 0
        0.0000000000000000    5     4 1 0
        0.0000000000000000    5     3 2 0
        0.0000000000000000    5     2 3 0
        0.0000000000000000    5     1 4 0
        0.0000000000000000    5     0 5 0
        0.0000000000000000    5     4 0 1
        0.0000000000000000    5     3 1 1
        0.0000000000000000    5     2 2 1
        0.0000000000000000    5     1 3 1
        0.0000000000000000    5     0 4 1
        0.0000000000000000    5     3 0 2
        0.0000000000000000    5     2 1 2
        0.0000000000000000    5     1 2 2
        0.0000000000000000    5     0 3 2
        0.0000000000000000    5     2 0 3
        0.0000000000000000    5     1 1 3
        0.0000000000000000    5     0 2 3
        0.0000000000000000    5     1 0 4
        0.0000000000000000    5     0 1 4
        0.0000000000000000    5     0 0 5
 
        0.0101757369614512    6     6 0 0
        0.0000000000000000    6     5 1 0
        0.0000094482237339    6     4 2 0
        0.0000000000000000    6     3 3 0
        0.0000094482237339    6     2 4 0
        0.0000000000000000    6     1 5 0
        0.0101757369614512    6     0 6 0
        0.0000000000000000    6     5 0 1
        0.0000000000000000    6     4 1 1
        0.0000000000000000    6     3 2 1
        0.0000000000000000    6     2 3 1
        0.0000000000000000    6     1 4 1
        0.0000000000000000    6     0 5 1
        0.0000283446712016    6     4 0 2
        0.0000000000000000    6     3 1 2
        0.0000157470395564    6     2 2 2
        0.0000000000000000    6     1 3 2
        0.0000283446712016    6     0 4 2
        0.0000000000000000    6     3 0 3
        0.0000000000000000    6     2 1 3
        0.0000000000000000    6     1 2 3
        0.0000000000000000    6     0 3 3
        0.0000472411186697    6     2 0 4
        0.0000000000000000    6     1 1 4
        0.0000472411186697    6     0 2 4
        0.0000000000000000    6     1 0 5
        0.0000000000000000    6     0 1 5
        0.0001417233560090    6     0 0 6
 
 
NINT_EXACTNESS_NINT_EXACTNESS_PYRAMID:
  Normal end of execution.
 
28 July 2009   8:20:34.268 PM
