 
SCHEDULE_OPEN_MP
  FORTRAN90/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.
 
  Number of processors available =        8
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.183824E-03  0.356892E-04  0.367370E-04
         2         1  0.616699E-04  0.376441E-04  0.374350E-04
         4         2  0.351309E-04  0.349209E-04  0.351309E-04
         8         4  0.358289E-04  0.924012E-04  0.351300E-04
        16         6  0.383430E-04  0.342932E-04  0.348510E-04
        32        11  0.359691E-04  0.348510E-04  0.347821E-04
        64        18  0.394611E-04  0.324068E-04  0.341530E-04
       128        31  0.467943E-04  0.378550E-04  0.379239E-04
       256        54  0.682357E-04  0.591562E-04  0.585979E-04
       512        97  0.153862E-03  0.130186E-03  0.129767E-03
      1024       172  0.451390E-03  0.330144E-03  0.328468E-03
      2048       309  0.152703E-02  0.113724E-02  0.109834E-02
      4096       564  0.553366E-02  0.401159E-02  0.390843E-02
      8192      1028  0.170704E-01  0.139416E-01  0.108631E-01
     16384      1900  0.468126E-01  0.339537E-01  0.323962E-01
     32768      3512  0.172388      0.118935      0.118894    
     65536      6542  0.648456      0.470434      0.443591    
    131072     12251   2.43492       1.66999       1.66542    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
