 
SCHEDULE_OPEN_MP
  FORTRAN90/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.
 
  Number of processors available =        8
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.164986E-03  0.405312E-05  0.596046E-05
         2         1  0.882149E-05  0.190735E-05  0.150204E-04
         4         2  0.286102E-05  0.190735E-05  0.309944E-05
         8         4  0.286102E-05  0.190735E-05  0.309944E-05
        16         6  0.309944E-05  0.190735E-05  0.309944E-05
        32        11  0.405312E-05  0.309944E-05  0.405312E-05
        64        18  0.596046E-05  0.596046E-05  0.715256E-05
       128        31  0.119209E-04  0.109673E-04  0.109673E-04
       256        54  0.350475E-04  0.250340E-04  0.250340E-04
       512        97  0.119925E-03  0.929832E-04  0.939369E-04
      1024       172  0.422955E-03  0.300884E-03  0.293970E-03
      2048       309  0.147009E-02  0.108504E-02  0.106192E-02
      4096       564  0.544691E-02  0.389409E-02  0.384212E-02
      8192      1028  0.163970E-01  0.874901E-02  0.866914E-02
     16384      1900  0.652320E-01  0.323610E-01  0.324721E-01
     32768      3512  0.177539      0.121839      0.120254    
     65536      6542  0.664753      0.456502      0.448341    
    131072     12251   2.50479       1.76138       1.68380    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
