 
SCHEDULE_OPEN_MP
  FORTRAN90/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.
 
  Number of processors available =        2
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.439882E-03  0.170946E-03  0.190020E-03
         2         1  0.151157E-03  0.136852E-03  0.101089E-03
         4         2  0.144005E-03  0.137091E-03  0.136852E-03
         8         4  0.137091E-03  0.137091E-03  0.136852E-03
        16         6  0.136852E-03  0.138044E-03  0.135899E-03
        32        11  0.138998E-03  0.142097E-03  0.137091E-03
        64        18  0.142813E-03  0.137091E-03  0.136137E-03
       128        31  0.154972E-03  0.166893E-03  0.151873E-03
       256        54  0.238180E-03  0.216007E-03  0.217915E-03
       512        97  0.540018E-03  0.461102E-03  0.447035E-03
      1024       172  0.160098E-02  0.117016E-02  0.117397E-02
      2048       309  0.768280E-02  0.400805E-02  0.399613E-02
      4096       564  0.197241E-01  0.181019E-01  0.142031E-01
      8192      1028  0.764389E-01  0.564468E-01  0.552828E-01
     16384      1900  0.288755      0.229573      0.209571    
     32768      3512   1.04927      0.833322      0.877338    
     65536      6542   4.02837       2.99337       2.98890    
    131072     12251   15.1860       12.0236       11.3745    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
