 
SCHEDULE_OPEN_MP
  FORTRAN90/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.
 
  Number of processors available =       16
  Number of threads =                     2
 
                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time
 
         1         0  0.169039E-03  0.500679E-05  0.691414E-05
         2         1  0.109673E-04  0.405312E-05  0.131130E-04
         4         2  0.500679E-05  0.381470E-05  0.405312E-05
         8         4  0.405312E-05  0.405312E-05  0.405312E-05
        16         6  0.405312E-05  0.405312E-05  0.405312E-05
        32        11  0.500679E-05  0.405312E-05  0.500679E-05
        64        18  0.596046E-05  0.691414E-05  0.810623E-05
       128        31  0.200272E-04  0.121593E-04  0.128746E-04
       256        54  0.369549E-04  0.269413E-04  0.271797E-04
       512        97  0.121117E-03  0.939369E-04  0.960827E-04
      1024       172  0.414133E-03  0.293970E-03  0.295162E-03
      2048       309  0.148201E-02  0.112200E-02  0.106001E-02
      4096       564  0.545502E-02  0.396895E-02  0.389886E-02
      8192      1028  0.197382E-01  0.134130E-01  0.112441E-01
     16384      1900  0.688648E-01  0.347121E-01  0.332742E-01
     32768      3512  0.173524      0.126434      0.122805    
     65536      6542  0.651150      0.494698      0.448599    
    131072     12251   2.45507       1.71634       1.68815    
 
SCHEDULE_OPEN_MP
  Normal end of execution.
