         1         2         3
         1         2        16
         1         3        17
         1        10        11
         1        10        16
         1        11        17
         2         3        26
         2        16        21
         2        21        26
         3         4        17
         3         4        27
         3         5        26
         3         5        27
         4        17        18
         4        18        22
         4        22        28
         4        27        28
         5        26        31
         5        27        33
         5        31        32
         5        32        33
         6         7        11
         6         7        39
         6         9        10
         6         9        38
         6        10        11
         6        38        39
         7         8        12
         7         8        40
         7        11        12
         7        39        40
         8        12        13
         8        13        42
         8        40        42
         9        10        15
         9        14        15
         9        14        43
         9        38        41
         9        41        43
        10        15        16
        11        12        17
        12        13        18
        12        17        18
        13        18        19
        13        19        44
        13        42        44
        14        15        20
        14        20        45
        14        43        45
        15        16        21
        15        20        21
        18        19        22
        19        22        23
        19        23        48
        19        44        46
        19        46        48
        20        21        24
        20        24        47
        20        45        47
        21        24        25
        21        25        26
        22        23        28
        23        28        29
        23        29        50
        23        48        50
        24        25        30
        24        30        51
        24        47        49
        24        49        51
        25        26        31
        25        30        31
        27        28        33
        28        29        34
        28        33        34
        29        34        52
        29        50        52
        30        31        35
        30        35        53
        30        51        53
        31        32        35
        32        33        37
        32        35        36
        32        36        37
        33        34        37
        34        37        54
        34        52        54
        35        36        55
        35        53        55
        36        37        56
        36        55        56
        37        54        57
        37        56        57
        38        39        59
        38        41        58
        38        58        59
        39        40        60
        39        59        60
        40        42        62
        40        60        61
        40        61        62
        41        43        63
        41        58        63
        42        44        64
        42        62        64
        43        45        65
        43        63        65
        44        46        66
        44        64        66
        45        47        69
        45        65        67
        45        67        69
        46        48        68
        46        66        68
        47        49        71
        47        69        71
        48        50        70
        48        68        70
        49        51        73
        49        71        73
        50        52        74
        50        70        72
        50        72        74
        51        53        75
        51        73        75
        52        54        76
        52        74        76
        53        55        77
        53        75        77
        54        57        81
        54        76        81
        55        56        79
        55        77        78
        55        78        79
        56        57        80
        56        79        80
        57        80        81
        58        59        84
        58        63        83
        58        83        84
        59        60        82
        59        82        85
        59        84        85
        60        61        82
        61        62        87
        61        82        86
        61        86        87
        62        64        88
        62        87        88
        63        65        89
        63        83        89
        64        66        90
        64        88        90
        65        67        91
        65        89        91
        66        68        92
        66        90        92
        67        69        95
        67        91        93
        67        93        95
        68        70        96
        68        92        94
        68        94        96
        69        71        95
        70        72        96
        71        73        99
        71        95        97
        71        97        99
        72        74       100
        72        96        98
        72        98       100
        73        75       101
        73        99       101
        74        76       102
        74       100       102
        75        77       103
        75       101       103
        76        81       108
        76       102       108
        77        78       104
        77       103       104
        78        79       109
        78       104       105
        78       105       109
        79        80       109
        80        81       107
        80       106       107
        80       106       109
        81       107       108
        82        85       110
        82        86       110
        83        84       113
        83        89       117
        83       113       117
        84        85       114
        84       113       114
        85       110       114
        86        87       112
        86       110       111
        86       111       112
        87        88       115
        87       112       115
        88        90       116
        88       115       116
        89        91       119
        89       117       119
        90        92       120
        90       116       118
        90       118       120
        91        93       121
        91       119       121
        92        94       122
        92       120       122
        93        95       123
        93       121       123
        94        96       124
