 4 July 2007   7:51:36.915 AM                                                   
 
NINT_EXACTNESS_TET
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for a tetrahedron by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit tetrahedron.
 
NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast3_x.txt".
  Quadrature rule W file = "keast3_w.txt".
  Quadrature rule R file = "keast3_r.txt".
  Maximum total degree to check =        5
 
  Spatial dimension =        3
  Number of points  =       10
 
          Error          Degree  Exponents
 
        0.0000000000000004    0     0 0 0
 
        0.0000000000000004    1     1 0 0
        0.0000000000000002    1     0 1 0
        0.0000000000000002    1     0 0 1
 
        0.0000000000000009    2     2 0 0
        0.0000000000000009    2     1 1 0
        0.0000000000000010    2     0 2 0
        0.0000000000000009    2     1 0 1
        0.0000000000000009    2     0 1 1
        0.0000000000000010    2     0 0 2
 
        0.0000000000000029    3     3 0 0
        0.0000000000000011    3     2 1 0
        0.0000000000000011    3     1 2 0
        0.0000000000000027    3     0 3 0
        0.0000000000000011    3     2 0 1
        0.0000000000000002    3     1 1 1
        0.0000000000000011    3     0 2 1
        0.0000000000000011    3     1 0 2
        0.0000000000000011    3     0 1 2
        0.0000000000000027    3     0 0 3
 
        0.0534491339156149    4     4 0 0
        0.0712655118874803    4     3 1 0
        0.0671971517233109    4     2 2 0
        0.0712655118874805    4     1 3 0
        0.0534491339156149    4     0 4 0
        0.0712655118874803    4     3 0 1
        0.0397011161079053    4     2 1 1
        0.0397011161079053    4     1 2 1
        0.0712655118874805    4     0 3 1
        0.0671971517233109    4     2 0 2
        0.0397011161079053    4     1 1 2
        0.0671971517233106    4     0 2 2
        0.0712655118874803    4     1 0 3
        0.0712655118874805    4     0 1 3
        0.0534491339156149    4     0 0 4
 
        0.1612156979054705    5     5 0 0
        0.1261618060674778    5     4 1 0
        0.0280748997211596    5     3 2 0
        0.0280748997211596    5     2 3 0
        0.1261618060674778    5     1 4 0
        0.1612156979054704    5     0 5 0
        0.1261618060674778    5     4 0 1
        0.0608133351361260    5     3 1 1
        0.1845639077297636    5     2 2 1
        0.0608133351361260    5     1 3 1
        0.1261618060674778    5     0 4 1
        0.0280748997211596    5     3 0 2
        0.1845639077297636    5     2 1 2
        0.1845639077297636    5     1 2 2
        0.0280748997211596    5     0 3 2
        0.0280748997211596    5     2 0 3
        0.0608133351361260    5     1 1 3
        0.0280748997211596    5     0 2 3
        0.1261618060674778    5     1 0 4
        0.1261618060674778    5     0 1 4
        0.1612156979054704    5     0 0 5
 
 
NINT_EXACTNESS_TET:
  Normal end of execution.
 
 4 July 2007   7:51:36.923 AM                                                   
