 4 July 2007   7:53:03.776 AM                                                   
 
NINT_EXACTNESS_TET
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for a tetrahedron by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit tetrahedron.
 
NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "nco4_x.txt".
  Quadrature rule W file = "nco4_w.txt".
  Quadrature rule R file = "nco4_r.txt".
  Maximum total degree to check =        5
 
  Spatial dimension =        3
  Number of points  =       35
 
          Error          Degree  Exponents
 
        0.0000000000000002    0     0 0 0
 
        0.0000000000000002    1     1 0 0
        0.0000000000000002    1     0 1 0
        0.0000000000000002    1     0 0 1
 
        0.0000000000000000    2     2 0 0
        0.0000000000000004    2     1 1 0
        0.0000000000000002    2     0 2 0
        0.0000000000000011    2     1 0 1
        0.0000000000000007    2     0 1 1
        0.0000000000000004    2     0 0 2
 
        0.0000000000000011    3     3 0 0
        0.0000000000000002    3     2 1 0
        0.0000000000000009    3     1 2 0
        0.0000000000000011    3     0 3 0
        0.0000000000000002    3     2 0 1
        0.0000000000000013    3     1 1 1
        0.0000000000000002    3     0 2 1
        0.0000000000000009    3     1 0 2
        0.0000000000000009    3     0 1 2
        0.0000000000000004    3     0 0 3
 
        0.0000000000000000    4     4 0 0
        0.0000000000000009    4     3 1 0
        0.0000000000000009    4     2 2 0
        0.0000000000000009    4     1 3 0
        0.0000000000000002    4     0 4 0
        0.0000000000000011    4     3 0 1
        0.0000000000000009    4     2 1 1
        0.0000000000000009    4     1 2 1
        0.0000000000000004    4     0 3 1
        0.0000000000000004    4     2 0 2
        0.0000000000000004    4     1 1 2
        0.0000000000000000    4     0 2 2
        0.0000000000000009    4     1 0 3
        0.0000000000000004    4     0 1 3
        0.0000000000000004    4     0 0 4
 
        0.0107421875000000    5     5 0 0
        0.0179036458333333    5     4 1 0
        0.0071614583333335    5     3 2 0
        0.0071614583333341    5     2 3 0
        0.0179036458333338    5     1 4 0
        0.0107421875000000    5     0 5 0
        0.0179036458333333    5     4 0 1
        0.0286458333333341    5     3 1 1
        0.0214843749999990    5     2 2 1
        0.0286458333333346    5     1 3 1
        0.0179036458333330    5     0 4 1
        0.0071614583333337    5     3 0 2
        0.0214843749999986    5     2 1 2
        0.0214843749999993    5     1 2 2
        0.0071614583333335    5     0 3 2
        0.0071614583333341    5     2 0 3
        0.0286458333333339    5     1 1 3
        0.0071614583333335    5     0 2 3
        0.0179036458333333    5     1 0 4
        0.0179036458333329    5     0 1 4
        0.0107421875000007    5     0 0 5
 
 
NINT_EXACTNESS_TET:
  Normal end of execution.
 
 4 July 2007   7:53:03.788 AM                                                   
