January 11 2011   8:08:31.210 AM
 
TOMS757_PRB:
  FORTRAN90 version
  Test the TOMS757 library.
 
TEST01
  Testing function ABRAM0
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.11102D-15            0.12706D-15
     0.0078125000      0.11102D-15            0.13104D-15
     0.0312500000      0.22204D-15            0.28729D-15
     0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.55511D-16            0.18583D-15
     1.0000000000      0.55511D-16            0.36996D-15
     1.2500000000      0.55511D-16            0.49944D-15
     1.5000000000      0.11102D-15            0.13231D-14
     1.8750000000      0.83267D-16            0.14724D-14
     2.0000000000      0.48572D-16            0.97385D-15
     2.1250000000      0.69389D-17            0.15734D-15
     3.0000000000      0.34694D-17            0.17577D-15
     4.0000000000      0.52042D-17            0.60378D-15
     5.0000000000      0.86736D-18            0.21563D-15
     6.0000000000      0.86736D-18            0.43987D-15
     7.0000000000      0.43368D-18            0.43170D-15
    10.0000000000      0.54210D-19            0.34470D-15
    15.0000000000      0.33881D-20            0.32727D-15
    20.0000000000      0.21176D-20            0.23212D-14
    40.0000000000      0.25849D-24            0.10086D-14
 
TEST02
  Testing function ABRAM1
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.11102D-15            0.22281D-15
     0.0078125000      0.16653D-15            0.33763D-15
     0.0312500000      0.55511D-16            0.11703D-15
     0.1250000000      0.55511D-16            0.13508D-15
     0.5000000000      0.55511D-16            0.21926D-15
     1.0000000000      0.13878D-15            0.94688D-15
     1.2500000000      0.00000D+00            0.00000D+00
     1.5000000000      0.69389D-16            0.77076D-15
     1.8750000000      0.12490D-15            0.19489D-14
     2.0000000000      0.69389D-17            0.12079D-15
     2.1250000000      0.13878D-16            0.26905D-15
     3.0000000000      0.13878D-16            0.54932D-15
     4.0000000000      0.86736D-17            0.72699D-15
     5.0000000000      0.34694D-17            0.58536D-15
     6.0000000000      0.00000D+00            0.00000D+00
     7.0000000000      0.21684D-18            0.13297D-15
    10.0000000000      0.54210D-19            0.19107D-15
    15.0000000000      0.23717D-19            0.11228D-14
    20.0000000000      0.46587D-20            0.22899D-14
    40.0000000000      0.41359D-24            0.58157D-15
 
TEST03
  Testing function ABRAM2
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.11102D-15            0.25110D-15
     0.0078125000      0.11102D-15            0.25276D-15
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.22204D-15            0.57446D-15
     0.5000000000      0.55511D-16            0.20917D-15
     1.0000000000      0.16653D-15            0.98840D-15
     1.2500000000      0.19429D-15            0.14276D-14
     1.5000000000      0.19429D-15            0.17550D-14
     1.8750000000      0.97145D-16            0.11829D-14
     2.0000000000      0.18041D-15            0.24204D-14
     2.1250000000      0.13878D-16            0.20489D-15
     3.0000000000      0.69389D-17            0.19468D-15
     4.0000000000      0.00000D+00            0.00000D+00
     5.0000000000      0.52042D-17            0.55329D-15
     6.0000000000      0.00000D+00            0.00000D+00
     7.0000000000      0.13010D-17            0.46219D-15
    10.0000000000      0.00000D+00            0.00000D+00
    15.0000000000      0.33881D-19            0.75591D-15
    20.0000000000      0.11011D-19            0.23483D-14
    40.0000000000      0.53767D-23            0.26668D-14
 
TEST04
