 3 July 2007  11:59:02.002 AM                                                   
 
NINT_EXACTNESS_TRI
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit triangle.
 
NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "gauss4x4_x.txt".
  Quadrature rule W file = "gauss4x4_w.txt".
  Quadrature rule R file = "gauss4x4_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        2
  Number of points  =       16
 
          Error          Degree  Exponents
 
        0.0000000002000000    0     0 0
 
        0.0000000003407273    1     1 0
        0.0000000001296363    1     0 1
 
        0.0000000004579243    2     2 0
        0.0000000002235305    2     1 1
        0.0000000000983383    2     0 2
 
        0.0000000005668598    3     3 0
        0.0000000002945213    3     2 1
        0.0000000001762031    3     1 2
        0.0000000000788724    3     0 3
 
        0.0000000006712766    4     4 0
        0.0000000003580265    4     3 1
        0.0000000002310160    4     2 2
        0.0000000001487969    4     1 3
        0.0000000000648874    4     0 4
 
        0.0000000007678155    5     5 0
        0.0000000004299291    5     4 1
        0.0000000002621563    5     3 2
        0.0000000002076601    5     2 3
        0.0000000001252516    5     1 4
        0.0000000000548268    5     0 5
 
        0.0000000008497044    6     6 0
        0.0000000005221481    6     5 1
        0.0000000002762311    6     4 2
        0.0000000002480822    6     3 3
        0.0000000001834067    6     2 4
        0.0000000001058665    6     1 5
        0.0000000000475355    6     0 6
 
        0.0000000009115336    7     7 0
        0.0000000006333023    7     6 1
        0.0000000002998390    7     5 2
        0.0000000002467216    7     4 3
        0.0000000002491706    7     3 4
        0.0000000001505254    7     2 5
        0.0000000000931066    7     1 6
        0.0000000000418393    7     0 7
 
        0.0005668943748036    8     8 0
        0.0022675729415469    8     7 1
        0.0052910056412838    8     6 2
        0.0079365077123281    8     5 3
        0.0079365082057711    8     4 4
        0.0052910050552299    8     3 5
        0.0022675738101351    8     2 6
        0.0005668933361502    8     1 7
        0.0002670569728688    8     0 8
 
        0.0028064733506211    9     9 0
        0.0095112110163729    9     8 1
        0.0170487952579893    9     7 2
        0.0152851261879516    9     6 3
        0.0008818344584200    9     5 4
        0.0138154029952305    9     4 5
        0.0162089525126359    9     3 6
        0.0091962711811738    9     2 7
        0.0025318453520398    9     1 8
        0.0013629937885766    9     0 9
 
 
NINT_EXACTNESS_TRI:
  Normal end of execution.
 
 3 July 2007  11:59:02.012 AM                                                   
