September 28 2010   9:12:05.514 AM
 
TRIANGLE_EXACTNESS
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  up to a given degree.
 
  The rule will be adjusted to the unit triangle.
 
TRIANGLE_EXACTNESS: User input:
  Quadrature rule X file = "toms612_19_x.txt".
  Quadrature rule W file = "toms612_19_w.txt".
  Quadrature rule R file = "toms612_19_r.txt".
  Maximum total degree to check =       10
 
  Spatial dimension =        2
  Number of points  =       19
 
          Error          Degree  Exponents
 
        0.0000000000000000    0      0  0
 
        0.0000000259701237    1      1  0
        0.0000000259701237    1      0  1
 
        0.0000000230576200    2      2  0
        0.0000000808228700    2      1  1
        0.0000000230576201    2      0  2
 
        0.0000000127948432    3      3  0
        0.0000001163621509    3      2  1
        0.0000001163621509    3      1  2
        0.0000000127948431    3      0  3
 
        0.0000000056799622    4      4  0
        0.0000001356269363    4      3  1
        0.0000001904786862    4      2  2
        0.0000001356269361    4      1  3
        0.0000000056799622    4      0  4
 
        0.0000000022062973    5      5  0
        0.0000001526353566    5      4  1
        0.0000002383158741    5      3  2
        0.0000002383158741    5      2  3
        0.0000001526353566    5      1  4
        0.0000000022062974    5      0  5
 
        0.0000000007835467    6      6  0
        0.0000001695354466    6      5  1
        0.0000002873637984    6      4  2
        0.0000002917964901    6      3  3
        0.0000002873637984    6      2  4
        0.0000001695354466    6      1  5
        0.0000000007835467    6      0  6
 
        0.0000000002608782    7      7  0
        0.0000001835984624    7      6  1
        0.0000003468300782    7      5  2
        0.0000003404376691    7      4  3
        0.0000003404376692    7      3  4
        0.0000003468300782    7      2  5
        0.0000001835984624    7      1  6
        0.0000000002608782    7      0  7
 
        0.0000000000827226    8      8  0
        0.0000001925142502    8      7  1
        0.0000004111406730    8      6  2
        0.0000004145542521    8      5  3
        0.0000003600026665    8      4  4
        0.0000004145542523    8      3  5
        0.0000004111406730    8      2  6
        0.0000001925142503    8      1  7
        0.0000000000827226    8      0  8
 
        0.0000000000252482    9      9  0
        0.0000001955202159    9      8  1
        0.0000004715144647    9      7  2
        0.0000005163913170    9      6  3
        0.0000004033875862    9      5  4
        0.0000004033875862    9      4  5
        0.0000005163913172    9      3  6
        0.0000004715144647    9      2  7
        0.0000001955202159    9      1  8
        0.0000000000252485    9      0  9
 
        0.0000302640377380   10     10  0
        0.0001511271575447   10      9  1
        0.0006978420367681   10      8  2
        0.0018807275042874   10      7  3
        0.0033092569449040   10      6  4
        0.0039766770801990   10      5  5
        0.0033092569449044   10      4  6
        0.0018807275042871   10      3  7
        0.0006978420367679   10      2  8
        0.0001511271575450   10      1  9
        0.0000302640377381   10      0 10
 
TRIANGLE_EXACTNESS:
  Normal end of execution.
 
September 28 2010   9:12:05.519 AM
