 3 July 2007  12:01:53.436 PM                                                   
 
NINT_EXACTNESS_TRI
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit triangle.
 
NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "toms706_37_x.txt".
  Quadrature rule W file = "toms706_37_w.txt".
  Quadrature rule R file = "toms706_37_r.txt".
  Maximum total degree to check =       14
 
  Spatial dimension =        2
  Number of points  =       37
 
          Error          Degree  Exponents
 
        0.0000000000000002    0     0 0
 
        0.0000000000000004    1     1 0
        0.0000000000000004    1     0 1
 
        0.0000000000000002    2     2 0
        0.0000000000000002    2     1 1
        0.0000000000000004    2     0 2
 
        0.0000000000000000    3     3 0
        0.0000000000000007    3     2 1
        0.0000000000000007    3     1 2
        0.0000000000000000    3     0 3
 
        0.0000000000000002    4     4 0
        0.0000000000000002    4     3 1
        0.0000000000000009    4     2 2
        0.0000000000000004    4     1 3
        0.0000000000000000    4     0 4
 
        0.0000000000000002    5     5 0
        0.0000000000000007    5     4 1
        0.0000000000000009    5     3 2
        0.0000000000000007    5     2 3
        0.0000000000000004    5     1 4
        0.0000000000000002    5     0 5
 
        0.0000000000000002    6     6 0
        0.0000000000000002    6     5 1
        0.0000000000000009    6     4 2
        0.0000000000000007    6     3 3
        0.0000000000000011    6     2 4
        0.0000000000000000    6     1 5
        0.0000000000000000    6     0 6
 
        0.0000000000000004    7     7 0
        0.0000000000000002    7     6 1
        0.0000000000000009    7     5 2
        0.0000000000000009    7     4 3
        0.0000000000000009    7     3 4
        0.0000000000000009    7     2 5
        0.0000000000000002    7     1 6
        0.0000000000000004    7     0 7
 
        0.0000000000000002    8     8 0
        0.0000000000000002    8     7 1
        0.0000000000000009    8     6 2
        0.0000000000000013    8     5 3
        0.0000000000000011    8     4 4
        0.0000000000000009    8     3 5
        0.0000000000000009    8     2 6
        0.0000000000000002    8     1 7
        0.0000000000000002    8     0 8
 
        0.0000000000000007    9     9 0
        0.0000000000000007    9     8 1
        0.0000000000000011    9     7 2
        0.0000000000000011    9     6 3
        0.0000000000000016    9     5 4
        0.0000000000000016    9     4 5
        0.0000000000000009    9     3 6
        0.0000000000000009    9     2 7
        0.0000000000000004    9     1 8
        0.0000000000000004    9     0 9
 
        0.0000000000000009   10    10 0
        0.0000000000000002   10     9 1
        0.0000000000000011   10     8 2
        0.0000000000000011   10     7 3
        0.0000000000000022   10     6 4
        0.0000000000000016   10     5 5
        0.0000000000000018   10     4 6
        0.0000000000000007   10     3 7
        0.0000000000000009   10     2 8
        0.0000000000000004   10     1 9
        0.0000000000000009   10     010
 
        0.0000000000000016   11    11 0
        0.0000000000000007   11    10 1
        0.0000000000000004   11     9 2
        0.0000000000000011   11     8 3
        0.0000000000000016   11     7 4
        0.0000000000000018   11     6 5
        0.0000000000000018   11     5 6
        0.0000000000000011   11     4 7
        0.0000000000000009   11     3 8
        0.0000000000000007   11     2 9
        0.0000000000000004   11     110
        0.0000000000000016   11     011
 
        0.0000000000000013   12    12 0
        0.0000000000000007   12    11 1
        0.0000000000000009   12    10 2
        0.0000000000000004   12     9 3
        0.0000000000000016   12     8 4
        0.0000000000000018   12     7 5
        0.0000000000000022   12     6 6
        0.0000000000000018   12     5 7
        0.0000000000000011   12     4 8
        0.0000000000000007   12     3 9
        0.0000000000000009   12     210
        0.0000000000000007   12     111
        0.0000000000000013   12     012
 
        0.0000000000000018   13    13 0
        0.0000000000000007   13    12 1
        0.0000000000000009   13    11 2
        0.0000000000000007   13    10 3
        0.0000000000000009   13     9 4
        0.0000000000000022   13     8 5
        0.0000000000000024   13     7 6
        0.0000000000000024   13     6 7
        0.0000000000000020   13     5 8
        0.0000000000000009   13     4 9
        0.0000000000000007   13     310
        0.0000000000000004   13     211
        0.0000000000000007   13     112
        0.0000000000000018   13     013
 
        0.0000001705892209   14    14 0
        0.0000011941245597   14    13 1
        0.0000077636257206   14    12 2
        0.0000310581350693   14    11 3
        0.0000852805990472   14    10 4
        0.0001701633924249   14     9 5
        0.0002547785605590   14     8 6
        0.0002909848557870   14     7 7
        0.0002547785605593   14     6 8
        0.0001701633924249   14     5 9
        0.0000852805990474   14     410
        0.0000310581350691   14     311
        0.0000077636257205   14     212
        0.0000011941245599   14     113
        0.0000001705892211   14     014
 
 
NINT_EXACTNESS_TRI:
  Normal end of execution.
 
 3 July 2007  12:01:53.476 PM                                                   
