 1 September 2010   4:50:08.595 PM
 
TRIANGLE_GRID_PRB:
  Test the TRIANGLE_GRID library.
  
   Defining triangle:
      J      X      Y
  
     1     0.00000         0.00000    
     2     1.00000         0.00000    
     3    0.500000        0.866025    
  
      J      X      Y
  
     1    0.500000        0.866025    
     2    0.550000        0.779423    
     3    0.600000        0.692820    
     4    0.650000        0.606218    
     5    0.700000        0.519615    
     6    0.750000        0.433013    
     7    0.800000        0.346410    
     8    0.850000        0.259808    
     9    0.900000        0.173205    
    10    0.950000        0.866025E-01
    11     1.00000         0.00000    
    12    0.450000        0.779423    
    13    0.500000        0.692820    
    14    0.550000        0.606218    
    15    0.600000        0.519615    
    16    0.650000        0.433013    
    17    0.700000        0.346410    
    18    0.750000        0.259808    
    19    0.800000        0.173205    
    20    0.850000        0.866025E-01
    21    0.900000         0.00000    
    22    0.400000        0.692820    
    23    0.450000        0.606218    
    24    0.500000        0.519615    
    25    0.550000        0.433013    
    26    0.600000        0.346410    
    27    0.650000        0.259808    
    28    0.700000        0.173205    
    29    0.750000        0.866025E-01
    30    0.800000         0.00000    
    31    0.350000        0.606218    
    32    0.400000        0.519615    
    33    0.450000        0.433013    
    34    0.500000        0.346410    
    35    0.550000        0.259808    
    36    0.600000        0.173205    
    37    0.650000        0.866025E-01
    38    0.700000         0.00000    
    39    0.300000        0.519615    
    40    0.350000        0.433013    
    41    0.400000        0.346410    
    42    0.450000        0.259808    
    43    0.500000        0.173205    
    44    0.550000        0.866025E-01
    45    0.600000         0.00000    
    46    0.250000        0.433013    
    47    0.300000        0.346410    
    48    0.350000        0.259808    
    49    0.400000        0.173205    
    50    0.450000        0.866025E-01
    51    0.500000         0.00000    
    52    0.200000        0.346410    
    53    0.250000        0.259808    
    54    0.300000        0.173205    
    55    0.350000        0.866025E-01
    56    0.400000         0.00000    
    57    0.150000        0.259808    
    58    0.200000        0.173205    
    59    0.250000        0.866025E-01
    60    0.300000         0.00000    
    61    0.100000        0.173205    
    62    0.150000        0.866025E-01
    63    0.200000         0.00000    
    64    0.500000E-01    0.866025E-01
    65    0.100000         0.00000    
    66     0.00000         0.00000    
 
TRIANGLE_GRID_PRB:
  Normal end of execution.
 
 1 September 2010   4:50:08.601 PM
